text,real_label,wrong_label
저 족같이 생긴 조폭 새퀴는 왜 자꾸 떠드는 거지?,1,0.0
걔네는 안 갈 걸 ㅋㅋㅋ,0,1.0
조선족이나 신기해하는걸로 세계화가 되겠냐?,1,0.0
그런 추잡한 년이 깜빵이라고 소설 안 쓰겠냐,1,0.0
그 나물에 그 밥.,1,0.0
꼬우면 니도 가난해져보든가 ㅋㅋㅋ,1,0.0
자동차는 계속해서 돈이 나갈텐데...,0,1.0
와 진짜 화나겠다 녹음해서 고소해버리지그랬어 아이부모가 수준이낮으니 아이도그럴 수밖에 ㅋㅋㅋ,1,0.0
#@인간및인간집단.인물.정치인.남성#은 검찰 출신이면서 왜 이렇게 멍청하냐 ㅋㅋㅋ,1,0.0
갓생? 이상한 말 좀 만들지마 기레기야,1,0.0
선생이란 사람이 학생들 뒷담이나 까고 안되겠네,1,0.0
야 어차피 여자 다 거기서 거기야 그냥 적당히 놀아주면 돼,1,0.0
니경험담임?,1,0.0
거품 낀 연봉이 문제지.. 몇 억씩 주니까 지들이 뭐라도 되는줄 아네,0,1.0
아니지 합법적으로 고딩 따먹을 수 있는 제일 쉬운 방법이니까 여자애 얼굴이 중요하다,1,0.0
게임에 핵쓰는 ㅅㄲ가 왜 이렇게 많아,1,0.0
뻐드렁니 존못은 알아서 나가 뒤지길 바란다,1,0.0
그런데 니 여친은 왜 너같은 M자 탈모 찐따 돼지랑 사귀는거야?,1,0.0
어차피 여자 인생 결혼하면 나락이야,1,0.0
연예인들 사생활 팔아서 돈 버는 버러지들.,1,0.0
근데 니 얼굴이 더 구려,0,1.0
니는 하나를 알려주면 제발 알려준 거라도 이해를 좀 해봐라.,1,0.0
후루룩 쉽게 먹히는 여자나 대하는 네가 비웃을 일은 아닌 듯.,1,0.0
그니까 항상 말하잖아 너처럼 게으르게 살기 싫다고.,1,0.0
김치년들이랑 연애하느니 남자랑 사귀겠음.,1,0.0
#@인간및인간집단.인물.방송인.남성# 사깃빨 때문에 동네 상권 다 아작났어.,1,0.0
싫은데? 사기범 주제에 이민을 꿈꾸다니. 참 할 짓없다,1,0.0
상상만 해도 발딱 서네,1,0.0
애가 양심없으니까 저렇게 발닦개 노릇이나 하지,1,0.0
내가 하겠다는데 니가 왜 이래라 저래라야 신경 꺼라,1,0.0
지렁이가 몇마리 기어다니는거야,1,0.0
은근히 관심 즐기면서 도도한 척 하는 여자애들 개웃김,1,0.0
저런 것들은 인간이라고 부르기도 아까운 쓰레기야,1,0.0
우리 나라에 일식집이 왜 이렇게 많아?,0,1.0
못배운거 티내지마,1,0.0
찌질해보이고 약해보이고 조직에 못 어울리고,1,0.0
빨갱이니까 선거때마다 90%이상 몰표가 나오지,1,0.0
쉰내나는 틀딱들은 요양원에 처박아놔야 돼,1,0.0
하루종일 남자얘기만 하는 거 안 질리나?,1,0.0
살쪄서 흘리는 돼지육수 땀도 추가해,1,0.0
"나이 들어 추하게 공짜폰 기웃거리지 말고, 그 시간에 일해서 돈을 더 버세요.",1,0.0
쿰척쿰척 파오후들 역겨워,1,0.0
"여자들도 시모님, 시부어른이라고 명칭 바꿔야해.",1,0.0
에휴 코딱지만한 나라에서 서울 수도권 나눠서 쌈박질하고 자빠졌네,1,0.0
#@인간및인간집단.인물.방송인.남성# 논란 이후로 완전 망했나보네?,0,1.0
그것도 급이 맞는 남자한테나 그러겠지!,1,0.0
벼락그지들아 기준금리 오르면 니들 전세대출 이자도 올라용,1,0.0
몸매 좋은 걸로 꿀빨려는 게 너무 티나서 ㅈ같은 거 맞는데?,1,0.0
매니저들은 하루라도 관종짓 안 하면 죽나?,1,0.0
굳이 판도라 상자를 열어본 남편이 그냥 개짓거리 한거지,1,0.0
저희 비누로 항문에 꽂아도 향기가 납니다,1,0.0
잘생겨도 입냄새 나면 아웃,1,0.0
어제 수영장 갔는데 비키니 입은 여자가 없더라,1,0.0
여자들 경례 흉내내는 거 보니까 주먹이랑 육두문자가 반사적으로 올라온다ㅋㅋㅋ,1,0.0
조공왕 이스라엘한테 어차피 밀렸누,0,1.0
나라를 판 것처럼 지금 양부모님한테 너를 팔아버렸잖아.,1,0.0
가로수길 특=다 똑같이 생긴 성괴여자들 모여서 폰 붙잡고 셀카찍고 할짓없이 커피만 마심,1,0.0
매일 쿵쿵대는 윗집 진짜 찢어 죽이고 싶다.,1,0.0
은근히 잼있어,1,0.0
이거 분리수거도 못할 폐기물 오물같은 인간이네,1,0.0
근데 #@인간및인간집단.조직및단체.가수그룹.남성#는 그 뒤로 잘나갔는데 #@인간및인간집단.조직및단체.가수그룹.남성#은 개 망한 듯,1,0.0
입술 얇으면 간사한 놈이라더니 역시 관상이 과학이네.,1,0.0
걔 해명 게시물 봤어?,0,1.0
저 연예인은 저 방송 끝나면 돈 못 벌거 아니가 억지로 리액션 하는군,1,0.0
일본 여자들은 성개념이 없고 문란해,1,0.0
옆집 남자가 어제 썩은내 나는 애니 덕후들 들을만한 애니 음악 크게 틀어놔서 너무 짜증났어,1,0.0
늙으면 뒤져야지 왜 나와서 돌아다니냐,1,0.0
그러면 어떻게 되는 건데?,0,1.0
너네 어머니 뱃살에 있는 지방 빼서 대체 연료로 써버리자 안 그래도 이번 겨울 추울 것 같은데 딱이네,1,0.0
역시 캣맘=페미 인가.. 남혐까지 완벽하네,1,0.0
너 태극기 부대지?,0,1.0
혜지들은 게임 좀 안 했으면 좋겠다.,1,0.0
택시기사 직업 하는사람들은 일부러 멀리 가던데 양아치 애들 아니냐 ? ㅋㅋ,0,1.0
그래봤자 한남유충이고 잠재적 성범죄자잖아,1,0.0
저 여배우는 누가 봐도 초딩같은데 왜 섹시한 척을 오지게 하는 거임?,1,0.0
운전 개떡같이도 하네,1,0.0
떡집에서 인절미 사 먹고 쪽빠리국 고사리떡은 지나가던 개에게나 던져줘,1,0.0
틀딱 교수 입 좀 누가 틀어 막아봐,1,0.0
입을 다 째버리고 싶네,1,0.0
입만 열었다하면 헛소리 작렬이네...,1,0.0
아 징그러 그런 샠히들은 왜 사는 거임? 공룡이랑 같이 멸종돼야 하는 거 아님?,1,0.0
말을 그렇게 하고 싶어?,0,1.0
안 그래도 취업도 안 되는데 어디 지잡대나 가게 생겼네,1,0.0
잠재적 성범죄자들이 어디서 기어오고 있어,1,0.0
쓰레기 같이 운전하는 인생을 사니까 결국 딸배하는거다,1,0.0
그냥 답이없으니까 그렇지 ㅋㅋ 안그래도 개돼지인데 운동도 안하니까,1,0.0
공부 그런거 모르겠고 걍 연쇄 살인마가 되고 싶어,1,0.0
그니까 기둥 떼고 군대가지말라고 하자,1,0.0
빚쟁이들 너무 무섭지 않아?,0,1.0
인성 터진 교수들 회사 생활 시켜보면 찐따미 넘치면서 부적응자 되는 인간들 엄청 많을거다,1,0.0
ㄹㅇ 흙수저 특징임,1,0.0
미국 캘리포니아나 가서 더러운 김치냄새 풍기지 말고 발이나 닦고 자,1,0.0
지하철에서 몰카 찍는 쓰레기들이 왜 이렇게 많니?,1,0.0
너 그렇게 대책없이 술담배 하다가는 40되기 전에 골로 간다.,1,0.0
완전. 이래서 늙으면 죽어야 한다는 말이 있나 봐ㅋㅋ,1,0.0
발정난 봊이련들이 특히 많지ㅋㅋ 난 딱히? 언제든 만날 수 있는데 뭘,1,0.0
원래 촌 사람들이 쓸데없이 욕심만 많아,1,0.0
재능이 있으면 괜찮을텐데 아니면 좀...,0,1.0
사상초유의 얼굴이다 ㅋㅋ,1,0.0
쉰 다 돼서 국제결혼하는 것도 토 나오는데 한술 더 뜨네,1,0.0
쌀뿌리고 작두타는 아줌마 인생보단 낫겠죠?,1,0.0
군대 다녀온 게 뭔 벼슬이라고 하나부터 열까지 군대 얘기냐?,1,0.0
야 너 선자리 알아봤으니까 주말에 내려와,0,1.0
ㅋㅋ 롱스톤들 슬슬 왜 롱 잡았나 싶지? 이미 늦었다.,1,0.0
틈만 나면 탈출하는데 그때마다 제발 길바닥에서 술 먹고 죽었음 좋겠다고 생각함.,1,0.0
회사 나오고 싶겠네,0,1.0
아 불편충 납셨네,1,0.0
