text,label
힘내.. 신은 사람이 감당할만큼의 고통만 준대잖아..,0
너 그러다가 큰일 난다.,0
재벌들 중 마약하는 사람 진짜 많나요?,0
글쎄 그게 그들이 한 최선의 노력일 수도 있지,0
#@인간및인간집단.인물.방송인.남성#는 페미들 다른 게임 방송 안넘어오게 막아주는 역할을 하긴 했지,0
한 어린아이가 장래희망이 사이비 교주래,0
쟤 일단 대구에 안 살거든,0
다 바퀴벌레같은 것들이야,1
나도 저거는 조금 아니라고 본다.,0
헐~ 아버지가 그런데 딸이 만든 작품은 왜 이렇게..,0
뭐라고 했냐?,0
요즘 젊은 애들은 사회 탓하기 전에 자기 생활 경제부터 돌아 봐야 된다,0
니가 뭔데 이래라 저래라야.,0
그게 아니라 악랄하고 치졸한 정치잡범이었던 것 같다,1
얘넨 누군데 1위했다고 난리임?,0
당연히 기수제지. 막 대해,1
이 세상에서 사라지고 싶냐?,1
갑자기 그건 왜?,0
오일팔 유공자 명단 좀 까자,0
제자와 성관계한 미국 여교사 22년형 받았네.,0
오늘 독서실 갔는데 옆자리 사람 머리 안 감았는지 하루 종일 긁더라,0
ㅋㅋ 나 부캔데 어떡하냐?,0
와 설탕 들어가는 양 봐라,0
누가 쟤 좀 말릴 수 없나?,0
넌 다신 내 음식 먹을 생각마.,0
화장해서 이쁘면 좋지뭐,0
반찬도 없는데. 뭐로 먹으란 건지 원.,0
앞으로 연락하지 말자.,0
돈 벌었으면 축하할 일이지.,0
싹수 보일 때 바로 걸러.,0
일 머리도 없으면서 자기 밖에 모르는 애,0
원래 손톱뜯는 습관 있었는데 고쳤다가 요새 시험때문에 불안해져서 ㅠㅠ,0
내가 좀더 판단을 빨리 할걸 그랬어,0
뭐가 말이 심해 그게 ㅋㅋ 인생 사는 거 실패한 머저리들인데,1
정신 똑바로 차린 #@# 여자가 자식 데리고 돈 악착같이 벌기 때문에 생활력이 강한 거임.,0
현기차가 가성비는 좋은 듯,0
아니 니네가 #@# 감성이 있으니까 비싸도 산다고 해놓고 가격 걱정하니까 어이가 없는거지,0
얘야 시간 바특하게 그렇게 여유없이 다니지 마라.,0
정치경험이 없어서 잘 할지 모르겠다,0
너는 호남인의 수치다,1
마을버스에 사람이 왜 이렇게 많아?,0
머리는 장식으로 달고다니는 게 아니거든???,1
동성애자 중에 에이즈에 걸린 사람들이 많대.,0
초등생이 담배에 폭행에… 근데 처벌이 없다고?,0
엄마가 여시? 오우야..,1
카페에서 마스크 써야 한다는 것도 모르나,0
아침부터 신기해서 그런다.,0
넌 좀 사람 볼 때 깐깐하게 봐야 할 듯,0
그냥 오른쪽으로 꺾은 거구만,0
기분 나쁘셨다면 죄송히요.,0
일본 제품사네? 너 일본좋아하냐?,1
#@인간및인간집단.인물.방송인.여성#는 적당히라는 걸 모르나봐,0
ㅋㅋ 걷다가 현실을 알아버린건지 아니면 진짜 끈기가 없는 친구들인거지 근데 거의다 끈기가없고 인내심 없는애들이나 포기하는거임,1
키 큰 애들은 알아서 관심 받으니까 과묵한 거 같네,0
스시녀들은 남한테 책임 안 떠넘기면서도 기본적으로 상대방을 헤아릴 줄 앎,0
온갖 비싼 척은 다 하네,1
제가 보고 말씀드릴께요,0
저기요 제가 손님인데요?,0
결혼하는 친구한테 축하는 못해줄망정 그딴소리가 어디있어!!,0
마카롱 근데 진짜 비싸긴해 니가 안먹어 봤겟지,0
최저시급 오르면 자영업자들이 알바생 안뽑음..ㅋㅋ그래서 우리도 돈 못버는거지 결국 악의 순환이다,0
헐 찾아 보니까 한 달에 8000원인데… 개오바다,0
"성인 되고 콤플렉스 였던 눈을 성형해서 그래, 근데 말이 너무 비꼬는거 아냐?",0
그냥 바쁜 일상을 잊고 스트레스 푸는 게 좋지 뭐,0
안 된다니까요. 사람들 밥 먹는데 냄새 나고 털 날리고 하면 되겠어요?,1
나 커피 좀 사줘,0
얼굴이 퉁퉁 부어서 #@# 같아.,1
가난해도 애 낳을 수도 있지 ㅜㅜ,0
땅 꺼지겠네 한숨 좀 그만 쉬어,0
나 수시! 부모님이 민주화운동 관련자라 기회균등 전형으로 들어왔어,0
알고 보면 AV 배우 출신인 거 아냐?ㅋㅋㅋ,1
나같은 건 그냥 뛰어 내리는 게 나을 듯ㅋ,1
너는 능력도 쥐뿔도 없으면서 뭐 한다고 창업을 했냐,1
그래 뭐 너 분 풀릴 때까지 맘대로 욕해봐,0
근데 어제 외출했다가 그 옷을 잃어버렸어. 미안.,0
음식에서 음식 맛이 안 나고 쓰레기 맛이 나지?,0
너는 굴리고 싶어도 못 굴리니?,0
아무튼 요즘 여자들 무시무시해.,0
멧돼지가 이상한 데서 핑계를 찾네,1
나도 가끔 뉴스보면 그 생각 자주 들긴 해,0
그래도 안정적이니까 나쁘지 않거든,0
길에서 진짜 예쁜애 있어서 헌팅했는데 옷을 너무 싸구려만 입었더라.,0
개한민국인들 태세전환 오졌죠,1
어떻게 알고 싫어하는 거냐 그건?,0
머리 깨진 애들이 왜 이렇게 많냐,1
ㅋㅋㅋ뚫린 여자라고 다 씨받을 수 있는 줄 아냐?,1
중립이라 하면 욕은 덜먹지 ㅋ,0
밤에 술 마시다가 여자가 꼬드긴다고 함부로 따라가지마라,0
아 축구지면 인스타에 우르르 몰려가지 않았으면 좋겠다,0
장바구니를 들고 오던가 하지,0
나 요새 과외하는데 학생이 진짜 너무 공부를 안해.,0
난 오라버니가 이해 안돼.,0
넌 시력이 왜 이 모양이야,0
집이 없으니깐 못살까봐 걱정하지.,0
너 가수잖아,0
알았어 잘할게..,0
코끼리 다리보다 두꺼운데 쪽팔리지도 않나,1
머야 초록불아니야?,0
"그래서 그런지 와꾸, 노래, 춤 그 어느 것도 잘난 게 없음 ㅋㅋㅋ",1
너 그거 성범죄야,0
똥 마려운 강아지 얼굴을 해가지고 분위기는 무슨...,1
남친때문에 친구 버리네 ㅋㅋㅋ,1
응 ㅋㅋ 성범죄 당해서 가진 아이도 출산해야한다던데,0
써클렌즈 너무 과한 거 아님?,0
공약지키면 나라가 망한다는 #@인간및인간집단.인물.정치인.남성# 공약을 믿냐?,1
근데 니가 가진 게 뭐가 있는데?,0
이번달 월급 받으면 소고기 사주려고 했는데..넌 내맘도 모르면서 그런 말하지마,0
에이 정작 예쁜데는 따로 있어,0
지하철 자리가 하나도 안나,0
그만큼 너네 어머님이 곱다는 거지,0
나같으면 창피해서 당분간 숨어살 것 같은데 하여간 낯짝은 참 두꺼워,0
맞잖아 ㅋㅋㅋ 니네 집안일 시키면 징징대고 그것도 안 하잖아,0
오늘 진짜 열심히 했다 그치?,0
일주일도 넘게 남았음.,0
와 요즘 애들이 얼마나 치열하게 사는데ㅡㅡ,0
그런 식으로 말하지마.,0
너무 벽이 높다고 못 넘을거라고 속단하지 말길,0
나도 껴줘 ㅋㅋㅋ,1
소송액 16억이면 과한 거 아니야?,0
어제 전 남자친구 길 지나가다가 마주쳤어 하 왜 하필 내가 상태 안 좋을 때 ㅠ,0
쟤는 매국놈이냐 왜 일본가서 저러냐,1
총 보니 너무 컨셉질 같은데,0
쟤는 나이도 그렇게 안 많은데 노안이네,0
아가씨가 이뻐서 그렇다고 데이트하자더라,0
남자는 군대 가는데 여자는 뭐하지?,0
지들이 먼저 시비걸고 시작된 거 아니냐고,1
그게 그렇게 중요한 건가,0
"임신해서 비행기 탔는데, 다리 부어 힘들다 해도 텅 빈 비즈니스석 업글 안 해주더라.",0
"이재영, 이다영 결국 그리스로 출국하네",0
뭔소리임. 공익은 법적으로 군대 갔다온 걸로 쳐주는건데..,0
