text,real_label,wrong_label
그 나물에 그 밥.,1,0.0
니경험담임?,1,0.0
거품 낀 연봉이 문제지.. 몇 억씩 주니까 지들이 뭐라도 되는줄 아네,0,1.0
니가 뭔데 이래라 저래라야.,0,1.0
근데 니 얼굴이 더 구려,0,1.0
니는 하나를 알려주면 제발 알려준 거라도 이해를 좀 해봐라.,1,0.0
이 세상에서 사라지고 싶냐?,1,0.0
넌 다신 내 음식 먹을 생각마.,0,1.0
반찬도 없는데. 뭐로 먹으란 건지 원.,0,1.0
싹수 보일 때 바로 걸러.,0,1.0
일 머리도 없으면서 자기 밖에 모르는 애,0,1.0
정신 똑바로 차린 #@# 여자가 자식 데리고 돈 악착같이 벌기 때문에 생활력이 강한 거임.,0,1.0
"여자들도 시모님, 시부어른이라고 명칭 바꿔야해.",1,0.0
아니 니네가 #@# 감성이 있으니까 비싸도 산다고 해놓고 가격 걱정하니까 어이가 없는거지,0,1.0
얘야 시간 바특하게 그렇게 여유없이 다니지 마라.,0,1.0
그것도 급이 맞는 남자한테나 그러겠지!,1,0.0
어제 수영장 갔는데 비키니 입은 여자가 없더라,1,0.0
조공왕 이스라엘한테 어차피 밀렸누,0,1.0
일본 제품사네? 너 일본좋아하냐?,1,0.0
은근히 잼있어,1,0.0
근데 #@인간및인간집단.조직및단체.가수그룹.남성#는 그 뒤로 잘나갔는데 #@인간및인간집단.조직및단체.가수그룹.남성#은 개 망한 듯,1,0.0
스시녀들은 남한테 책임 안 떠넘기면서도 기본적으로 상대방을 헤아릴 줄 앎,0,1.0
저 연예인은 저 방송 끝나면 돈 못 벌거 아니가 억지로 리액션 하는군,1,0.0
결혼하는 친구한테 축하는 못해줄망정 그딴소리가 어디있어!!,0,1.0
헐 찾아 보니까 한 달에 8000원인데… 개오바다,0,1.0
안 된다니까요. 사람들 밥 먹는데 냄새 나고 털 날리고 하면 되겠어요?,1,0.0
택시기사 직업 하는사람들은 일부러 멀리 가던데 양아치 애들 아니냐 ? ㅋㅋ,0,1.0
너는 굴리고 싶어도 못 굴리니?,0,1.0
중립이라 하면 욕은 덜먹지 ㅋ,0,1.0
넌 시력이 왜 이 모양이야,0,1.0
그니까 기둥 떼고 군대가지말라고 하자,1,0.0
남친때문에 친구 버리네 ㅋㅋㅋ,1,0.0
하긴 무료급식을 해도 먹을 사람이 없겠다.,1,0.0
공약지키면 나라가 망한다는 #@인간및인간집단.인물.정치인.남성# 공약을 믿냐?,1,0.0
근데 니가 가진 게 뭐가 있는데?,0,1.0
그리고 어릴수록 탄력이 장난 아니야,1,0.0
나같으면 창피해서 당분간 숨어살 것 같은데 하여간 낯짝은 참 두꺼워,0,1.0
김대리 내가 시킨 거도 똑바로 못 해?,1,0.0
맞잖아 ㅋㅋㅋ 니네 집안일 시키면 징징대고 그것도 안 하잖아,0,1.0
나도 껴줘 ㅋㅋㅋ,1,0.0
맞아 ㅋㅋㅋㅋ 자기는 다른 척 오짐,0,1.0
쟤는 나이도 그렇게 안 많은데 노안이네,0,1.0
지들이 먼저 시비걸고 시작된 거 아니냐고,1,0.0
내가 더 개고생 중인데 무슨 피해의식 있냐,1,0.0
우는 소리하지 말고 조금 더 참으세요,1,0.0
도련님 못하겠으면 아이 삼촌이라고 해라,0,1.0
계획 세우는 게 인생의 최대 목표인 애들이랑은 말도 안통해.,1,0.0
저거는 사장부터가 뇌가 썩은 쓰레기인지라 답이 없어,0,1.0
그래 제발 지구를 떠나라,1,0.0
진짜 담배피는 사람들은 머리가 어캐 된거 아니야?,1,0.0
"서민들은 2%대 이자라도 받으려고 이리저리 옮기는데 누구는 철길 빗나가게 해서 수백억 차익 남기고, 누구는 어지럽다고 퇴직금 50억 받고, ㅋㅋㅋ 세상 참... 현타 옵니다.",0,1.0
그니까 ㅋㅋ 진짜 힘들지도 않으면서 무슨 남자들 탓하는건지 답도없다,0,1.0
저거는 그냥 동물 학대지.,1,0.0
요즘 괜찮은 품번 추천 좀,1,0.0
#@인간및인간집단.조직및단체.정당#은 나라 망하게 하려고 작정했나봐.,0,1.0
글이 너무 더러워서 눈뜨고 못봐주겠네,0,1.0
미팅 장소에서 그동안 여자 못 만나본 티 안 내고 싶은데 어떻게 하냐?,0,1.0
지식갑질 하더니 역관광 제대로다,0,1.0
쓰레기는 얼른 쓰레기통에 버리자,1,0.0
