text,real_label,wrong_label
선생이란 사람이 학생들 뒷담이나 까고 안되겠네,1,0.0
니경험담임?,1,0.0
거품 낀 연봉이 문제지.. 몇 억씩 주니까 지들이 뭐라도 되는줄 아네,0,1.0
근데 니 얼굴이 더 구려,0,1.0
니는 하나를 알려주면 제발 알려준 거라도 이해를 좀 해봐라.,1,0.0
당연히 기수제지. 막 대해,1,0.0
지렁이가 몇마리 기어다니는거야,1,0.0
반찬도 없는데. 뭐로 먹으란 건지 원.,0,1.0
싹수 보일 때 바로 걸러.,0,1.0
일 머리도 없으면서 자기 밖에 모르는 애,0,1.0
"여자들도 시모님, 시부어른이라고 명칭 바꿔야해.",1,0.0
어제 수영장 갔는데 비키니 입은 여자가 없더라,1,0.0
조공왕 이스라엘한테 어차피 밀렸누,0,1.0
일본 제품사네? 너 일본좋아하냐?,1,0.0
은근히 잼있어,1,0.0
키 큰 애들은 알아서 관심 받으니까 과묵한 거 같네,0,1.0
스시녀들은 남한테 책임 안 떠넘기면서도 기본적으로 상대방을 헤아릴 줄 앎,0,1.0
최저시급 오르면 자영업자들이 알바생 안뽑음..ㅋㅋ그래서 우리도 돈 못버는거지 결국 악의 순환이다,0,1.0
택시기사 직업 하는사람들은 일부러 멀리 가던데 양아치 애들 아니냐 ? ㅋㅋ,0,1.0
음식에서 음식 맛이 안 나고 쓰레기 맛이 나지?,0,1.0
너는 굴리고 싶어도 못 굴리니?,0,1.0
길에서 진짜 예쁜애 있어서 헌팅했는데 옷을 너무 싸구려만 입었더라.,0,1.0
중립이라 하면 욕은 덜먹지 ㅋ,0,1.0
넌 시력이 왜 이 모양이야,0,1.0
집이 없으니깐 못살까봐 걱정하지.,0,1.0
남친때문에 친구 버리네 ㅋㅋㅋ,1,0.0
공약지키면 나라가 망한다는 #@인간및인간집단.인물.정치인.남성# 공약을 믿냐?,1,0.0
근데 니가 가진 게 뭐가 있는데?,0,1.0
그리고 어릴수록 탄력이 장난 아니야,1,0.0
나같으면 창피해서 당분간 숨어살 것 같은데 하여간 낯짝은 참 두꺼워,0,1.0
맞잖아 ㅋㅋㅋ 니네 집안일 시키면 징징대고 그것도 안 하잖아,0,1.0
나도 껴줘 ㅋㅋㅋ,1,0.0
맞아 ㅋㅋㅋㅋ 자기는 다른 척 오짐,0,1.0
쟤는 나이도 그렇게 안 많은데 노안이네,0,1.0
지들이 먼저 시비걸고 시작된 거 아니냐고,1,0.0
우는 소리하지 말고 조금 더 참으세요,1,0.0
저런 체력으로 아이돌은 어떻게 한대? 진짜 놀랍네.,0,1.0
"하, 이 냥반 까칠하게 나오시네.",1,0.0
저거는 사장부터가 뇌가 썩은 쓰레기인지라 답이 없어,0,1.0
얼음 와그작 씹어먹는 거 거슬려.,0,1.0
"서민들은 2%대 이자라도 받으려고 이리저리 옮기는데 누구는 철길 빗나가게 해서 수백억 차익 남기고, 누구는 어지럽다고 퇴직금 50억 받고, ㅋㅋㅋ 세상 참... 현타 옵니다.",0,1.0
그니까 ㅋㅋ 진짜 힘들지도 않으면서 무슨 남자들 탓하는건지 답도없다,0,1.0
저거는 그냥 동물 학대지.,1,0.0
"그러게, 사실 그 가수 히트곡도 없고 실력도 없는데 왜 자꾸 TV에 나오는지 모르겠어.",0,1.0
요즘 괜찮은 품번 추천 좀,1,0.0
#@인간및인간집단.조직및단체.정당#은 나라 망하게 하려고 작정했나봐.,0,1.0
글이 너무 더러워서 눈뜨고 못봐주겠네,0,1.0
아 정신병 걸릴 거 같애,0,1.0
미팅 장소에서 그동안 여자 못 만나본 티 안 내고 싶은데 어떻게 하냐?,0,1.0
지식갑질 하더니 역관광 제대로다,0,1.0
말로는 여포네,0,1.0
쟤는 도박때문에 한참 난리더니 또 슬금슬금 기어나오네,0,1.0
그냥 똥눈거까지 알아야 되나. 일총이 야신 참배하는 게 뭐 그리 대단한 일이라고.,0,1.0
쟤네는 무슨 고집인지 미드에 저걸 들고 나오네.,0,1.0
어 대박 너가 봐도 쟤 너무 막나가지?,1,0.0
그렇게 불안한 남자랑 어떻게 연애를 하겠냐?,1,0.0
"숙제 해도 난리 안 해도 난리, 나보고 어쩌라고요?",0,1.0
헬조선인 줄 알았는데 옆나라를 보니 헤븐조선이었어.,0,1.0
우리 과 선배 진짜 불편해,1,0.0
그리해봐야 마지막 남는건 온 몸에 질병뿐이야,0,1.0
기부하는 꼬라지를 본 적이 없음.,0,1.0
아 쟤는 왜 저렇게 앙앙대냐,0,1.0
한 번만 더 마주쳐봐라 진짜,1,0.0
너 의처증 있어?,0,1.0
넌 진짜 미래의 성범죄자다 왜 그러고 살아 ?,0,1.0
아 왜 발을 밟아요? 진짜 어이없네.,1,0.0
40대에 은퇴하고 자발적으로 가난하게 산다는데 왜 진정성이 안 느껴지지?,1,0.0
미성년자한테 수년 동안 몹쓸짓을 한 쓰레기인데 연예인이 아니라고 보호하는 게 올바른가?,0,1.0
재난 지원금 받는 애들은 우리 돈으로 주는 거니까 감사히 여겨라,1,0.0
침실 문턱이 닳겠어,1,0.0
그래서 변태들이 들끓는거야,0,1.0
야 돼지라고 그만 좀 놀려 스트레스 받아,0,1.0
빠순이들은 머리가 어떻게 된 거임?,0,1.0
내 생각에 우리나라는 아직 후진국이야.,0,1.0
환자분은 눈이 문제가 아니라 코랑 윤곽이 더 급하세요.,1,0.0
