text,real_label,wrong_label
그런데 그짓거리를 하고 있는거야?,1,0.0
조금이라도 조심해야 하니까 격리시켜 버려야 함.,1,0.0
너 그렇게 연락안하다 나중에 친구 다 떠난다,1,0.0
"#@인간및인간집단.인물.정치인.남성# 자기는 능력있다고 말하는데, 솔까 한번도 국회의원 되지 못했잖아?",0,1.0
배가 엄청 튀어나온 현재 니 몸좀 봐라,0,1.0
간호사들은 본인이 전문직이라 안했으면 좋겠어.,1,0.0
여자는 수위는 지키되 몸매 드러나게 입는 게 젤 야함,0,1.0
옷이 터질거 같애,1,0.0
ㅋㅋㅋ 집이 없어서 못 사는 게 아니고 가격 때문에 못 사는 건데 뭔 헛소리야,0,1.0
이런 일이 벌써 몇 번째야 우리가 흑우로 보이냐?,0,1.0
아 흑인들은 그냥 보면 너무 무서워,0,1.0
자존심은 좀 지키며 살자,1,0.0
저렇게 하는 거면 대통령 내가 해도 되겠다 ㅋㅋ,0,1.0
인종차별 좀 하지 마라 ㅉㅉ,1,0.0
좌파와는 말도 섞지 말아야지,0,1.0
여자들은 자기들끼리 왕따시키는 걸 잘하더라?,1,0.0
게이팝이라고 검색 해보면 게이 같다고 비난당하던데,1,0.0
넌 자유로워지려면 도대체 몇 년 남은 거니?,0,1.0
굳이 털바퀴를 주어서까지 키운다고?,1,0.0
저 사람 아들이 문제면 #@인간및인간집단.인물.정치인.남성#이 아들도 당연히 문제아니야?,1,0.0
그러면서 맨날 사회 탓만 하면 뭐가 달라지냐?,1,0.0
상사라고 성향까지 간섭해,1,0.0
왜저렇게 여자 같이 굴지?,1,0.0
제가 틀린말 한건 아닌거 같은데 ㅋ,1,0.0
머리짧고 그냥 인터넷 돌아다니는 의성어 좀 썼다고 온라인 테러.. 없던 혐오도 생기겠네,0,1.0
백신 확보도 못하고 정부탓이 아니라니,1,0.0
예쁜여자면 환장하고 대접해주는게 남자들인데 왜 여자 탓을 함? ㅋㅋ,0,1.0
남의 아이디어만이 아니라 남의 남편까지 빼았았으니 내가 당신 딸이 될 수 없었지.,0,1.0
"로또는 맞으면 세금 떼고, 백신 맞아 죽으면 인과관계 인정 안해주고?",1,0.0
엎드려 비는 게 아니면 손 뻗어 줄 필요도 없음.,1,0.0
저것들은 잠도 없나,1,0.0
다 자기관리 안 해서 그럼.,1,0.0
수입차 서비스센터보다 못한 정부라니,0,1.0
내 말은 애도 아니고 왜 그걸 다 티내냐는 말이야,0,1.0
그래서 너 같으면 저 가격 주고 저거 사 먹겠냐고,0,1.0
우냐 너 지금 울어?,1,0.0
으 그냥 그런 생각 밖에 안하는구나 한심해,0,1.0
저렇게 아이가 절박하면 일본이라도 가서 대리모 시술을 하든가 하지,0,1.0
나는 우울증이다 공황이다 하는 애들 보면 진짜 이해 안 감.,0,1.0
물론 속이는 사람이 나쁘긴 한데 데이팅앱에서 만난 사람을 뭘 믿고 돈을 막 보낸대?,1,0.0
넌 눈이 삐었구나,0,1.0
옆 단지 임대 아파트 애들이 자꾸 우리 아파트 놀이터 와서 노는 거 좀 불쾌해,1,0.0
자신은 아빠찬스 같은 거 허용 안 한다고 알리는 거지.,1,0.0
어떻게 사람보다 돈이 먼저가 되는 건지 참,1,0.0
우리 와이프 요새 스와핑 하더니 몸도 좋아지고 표정도 밝아졌어 라고 했다가 쪽만 팔았네,0,1.0
와이프가 임신했는데 강원랜드나 다니다니,1,0.0
쟤네들 총칼 말고 돌로 싸워 죽이는 거 아니냐 ㅋㅋ,0,1.0
빠순이들은 머리가 어떻게 된 거임?,0,1.0
자기 아이가 죽었는데 무섭다고 도망친 게 정상이 아니지.,1,0.0
홍대병 걸린 애들 가로수길 가면 널렸다,1,0.0
#@#들 사고 많이 치니까 좀 무섭기도 하고,1,0.0
ㅋㅋㅋㅋ ㅇㅇ 빨리 말리셈,1,0.0
맨날 일부만 그렇대 ㅋㅋㅋㅋ 걍 일반화 하고 말지,1,0.0
하긴 얼굴 값 하겠지.,1,0.0
부모가 부자면 싼타 할아버지도 비싼 선물을 줘서 착한 아이로 인정받는다.ㅋ,0,1.0
저런놈들은 사고로 죽어도 할 말 없다고 본다,0,1.0
노력도 안 하면서 돈 못 번다고 징징거리지 마,0,1.0
출산하는 장면 보고 성관계를 기피하게 되고 이 이유로 아내와 이혼하는 것도 이혼 사유로 인정해준대,1,0.0
"아줌마, 아침부터 왜 카페에 와서 시끄럽게 굴어?",1,0.0
ㅇㅈ 민폐라는 생각을 못하나?,1,0.0
대출을 안갚는게 나쁜놈인데 갚으면 바보라는 소리를 듣고 있자니 어이가 없네,1,0.0
와 어떻게 그렇게 생긴 여자랑 사귈 수가 있지 대단하다,0,1.0
최소한의 선도 못 지켜주는 거임?,1,0.0
하긴 그러니까 맨날 비슷한 신데렐라 얘기만 주구장창 나오지.,1,0.0
그러든지 말든지,1,0.0
ㄹㅇ ㅋㅋㅋ 하지말라고 한 적도 없는데 ㅋㅋ,1,0.0
게이 아냐?,1,0.0
니 인생도 캄캄한데 남 신경을 쓸데가 아니지,0,1.0
너는 그럼 코로 다 마셔라,1,0.0
엥? 그남자가 확실하더나 말기야것네,0,1.0
그렇잖아도 능구렁이 같은 사람인데 국정원 꼭대기에 앉아 있으니 어떻게 당해,0,1.0
이 미련한 돼지들아 쇼를 해도 정도껏 해라,0,1.0
니가 선택하기 전에 그네들이 널 벌레보듯해.,0,1.0
밤이 되었습니다 마피아는 고개를 들어주세요~,0,1.0
인간같지 않은 것들이 얼마나 많은데 그래?,0,1.0
"어지간한 뉴스는 다 복사한 거고 취사선택한 것만 전하는 게 언론이야, 거름망이야?",0,1.0
그런 사람을 남자는 뭐가 좋다고 만나나 몰라,0,1.0
사장님 쥐꼬리만한 월급 머깎으실게 있으시다고.,0,1.0
"어머니가 결혼하시는 것도 아닌데, 뭘 착각하시는 거 아녜요?",1,0.0
누구야?? 워딩도 그렇고 퀄리티 에반데,1,0.0
쟤보다 못하면 그건 진짜 사람도 아니야,1,0.0
여자들은 왜 성욕이 강하면서 아닌척 하는거임?,0,1.0
기본적인 발성 자체가 안 돼서 노래 듣고 있으면 내가 다 숙연해지던데.,0,1.0
그 회사는 돈이 많잖음.,1,0.0
헬린이들 귀엽다 귀여워.,0,1.0
너 아싸잖아,0,1.0
봤음 ㅋㅋ근데 그거 요즘 군대 아니라며 요즘 애들이 그런 고문 필요한데,1,0.0
#@인간및인간집단.인물.정치인.여성#은 친일파다,0,1.0
눈치 너무 많이 보는 애들 같이 생활할 때 힘듦,1,0.0
걔네들 부모도 없이 교육을 못배웠으니까 그럼,0,1.0
오 오밍아웃? ㅋㅋ 근데 너도 오타쿠련아니냐 애니 보잖아,0,1.0
어떻게 생겼는지 면상 한번 궁금하네,0,1.0
무상급식 거부한 거 보면 딱 알잖아. 아이들 차별을 당연시하는 인간이 공감 능력은 있을까?,0,1.0
남자랑 여자랑 같냐?,0,1.0
팬이 있기는 하냐? 뭐 이런 해체 기사 나면 다 팬이었는데 어쩌구 하는데 실제로 팬덤이 있기는 하냐고 ㅋㅋㅋ,0,1.0
요즘 시대에 정보 조작이 통한다고 생각하는 기자들이 이젠 가여워,1,0.0
ㅋㅋㅋ 그럴 수록 더 비율로 비교해야지 아가야 인구수가 무슨 상관이야,0,1.0
사람이 팍팍하게 60대 어르신한테 그러냐,1,0.0
여자친구는 이제 슬슬 너무 질려서 버리고 싶은데,1,0.0
엄마 나 중심이 이상해,1,0.0
나 좀그만불러 짜증나게..,1,0.0
지난주에 화성에서 또 끔찍한 살인사건이 발생했대요.,1,0.0
그냥 거기 죽치고 공부하는 애들이지. 왜 이렇게 화가 났니,0,1.0
진짜 노답이네,1,0.0
10살차이면 얘도 남자 없이 못사는 타입인가봐,0,1.0
일제가 그렇게 쓰고 싶나.,1,0.0
ㅋㅋㅋ 난  공부해도 강사는 안 한다,1,0.0
키 152cm짜리가 무슨 배우를 해,0,1.0
얼마나 #@# 죽돌이면 계급이 저래 높아?,0,1.0
