text,label,binary_rate_change_result
걔넨 저거 한시간도 못해 멧퇴지년들은,1,1.0
지금은 키우기 편해도 크면 저능아되지,1,1.0
저 여자들은 군인 처우 개선이 그렇게 싫나?,0,0.0
나였으면 자살했다.,1,1.0
너보단 좋잖아 넌 뚱뚱하니까 말이야,1,1.0
오징어 볶음 먹고 싶다,0,0.0
그런데 몇몇 고아들이 수녀님 돈을 훔쳐 달아났대,0,0.0
그런데 그짓거리를 하고 있는거야?,1,0.0
태권도는 애들 키 작아져서 안돼!,0,0.0
꼭 존못인 애들이 자기는 그래도 평균이라면서 자위하더라ㅋㅋ,1,1.0
미국에서 케이팝 팬들은 오타쿠 마이너 취급받는 거 몰라?,1,1.0
쪼잔하다. 버스비 얼마한다고 그러냐?,1,1.0
저런 비주얼로는 음악이 좋아봐야 되겠냐?,1,1.0
현 정권 촛불로 머가리 깨버리고싶네,1,1.0
이번에도 천조국이 이슬람 한 벌레 한 마리 드론으로 사냥 했네,1,1.0
자체적으로 핵 터져서 멸망해버렸으면 ㅋㅋ,1,1.0
맞지? 말할 때 마다 입에 바둑돌 넣고 치고싶음,1,1.0
현정부 20대 지지율도 낮은데 죽어서 좋은가 보네 ㅋㅋ 걍 많이 맞추고 인과 없다고 하면 끝,1,1.0
주먹질로 먹고사는 직업인데 펀치 장난 아닐 걸.,1,1.0
여자도 경제활동합니다. 자기 돈 쓰는게 문제입니까?,0,0.0
그러니까 쟤가 주제파악 못한다는 소리를 듣는거지,1,1.0
조센징이 영국을 까네??,1,1.0
여자 반전은 침대에서 나오는 거야,1,1.0
거의 가축 주는 짬밥 같이 줬더만,1,1.0
범죄자는 감옥으로 보내야지,0,0.0
사람 말이 말같지 않은가보네,0,0.0
와 진짜 번호 얼마나 따였을까?,0,0.0
ㅋㅋ 니나 공부해 볎신아 시험 2주 뒤 아님? 왜 사냐?,1,1.0
조금이라도 조심해야 하니까 격리시켜 버려야 함.,1,0.0
엥? 손님이? 왜 뭐라고 혼내는데?,0,0.0
생각보다 요즘 술집에 가는 사람이 많구나,0,0.0
트젠들이 이상한 목소리로 말할 때마다 입을 찢어버리고 싶잖아 ㅋㅋㅋ,1,1.0
우리 둘만으로 행복하다고 했어요,0,0.0
너 그렇게 연락안하다 나중에 친구 다 떠난다,1,0.0
내가 지 시다바리나할라고 여기 와 있는 줄 아나,1,1.0
내 소원은 #@인간및인간집단.인물.인물_무정보.여성#랑 사귀는거야,0,0.0
여기다 답글 다는 너도 현생이 보이는데 ㅋㅋㅋ,1,1.0
"#@인간및인간집단.인물.정치인.남성# 자기는 능력있다고 말하는데, 솔까 한번도 국회의원 되지 못했잖아?",0,1.0
나는 우리나라에 일부다처제가 도입되었으면 좋겠어,0,0.0
근데 거기서 엄청 열심히 살았는지 4천만원을 모아서 왔데.,0,0.0
이젠 내가 너마저 의심을 하는걸보니 정말 병원을 가야 하나봐,0,0.0
한국인도 보면 낚시 때문에 가는 경우가 많지,0,0.0
응 오늘 완전 풀강 예정이다,0,0.0
저것들은 사회악 특히 노조간부들은 기생충임,1,1.0
올림픽 떄문에 드라마 결방이네,0,0.0
다 거기가 커서 밤에 만족스러운 거지 ㅋㅋ,1,1.0
인정 이번 소속사가 언플 잘해줘서 갱생한 타입인 듯 원래는 양아치 남,1,1.0
우리나라 태극기 부대 할배들은 왜 이렇게 오래 사냐?,1,1.0
어제도 배달하는 딸배가 속도 안 줄이고 집앞 골목을 달리더라,1,1.0
으 딱 봐도 혼자 사는 늙탱이구만.,1,1.0
니가 직접본거임?,0,0.0
그러니까~ 쟤 공부도 못하고 네 인생에 그렇게 도움되는 사람은 아니야.,1,1.0
저런 인간들도 여자 친구가 있는데,1,1.0
너도 찐 이구나 대단하다,0,0.0
지역구 하나 찢어놓고 사퇴한단다. 소가 웃겠네,1,1.0
나 요즘 밤에 너무 잠이 안와서 힘들어,0,0.0
"중딩이 벌써부터 성범죄 당했다고 무고를 저지르다니, 역시 요즘 애들은 빠르군.",0,0.0
얘는 머리가 안되니 몸으로 밀어붙이네 ㅋㅋㅋ,1,1.0
안여돼가 뭐야?,0,0.0
니 얼굴을 봐라 니얼굴이 오크인데,1,1.0
외화벌이 하고 좋은데 뭘,0,0.0
봤지 한심 하더라,1,1.0
그니깐 비건들 지네 신념만 지키면 되지 남한테 강요하고 논비건 혐오하더라 돼지고기로 뺨때리고 싶음,1,1.0
이번 의사총파업 어떻게 생각해?,0,0.0
하여튼간에 우리나라 언론이나 법이나 죄다 자쥐섹이들한테만 유리하고 에휴,1,1.0
잼민이들은 참교육이 좀 필요해.,1,1.0
그 잠깐 사이에 보기 흉한 것도 못참으면 평소에 거울도 전혀 못보시겠네요?,1,1.0
나 며칠전에 계단에서 넘어졌어 간신히 살았다,0,0.0
초밥은 무슨 맛으로 먹냐?,0,0.0
언제쯤 쉴 수 있을까,0,0.0
자기 발로 돌아와서 개죽음 당한 것은 어디까지나 그들의 선택이지 총을 쏜 내가 아니야.,1,1.0
니네 동생 동네에서 유명한 일진이라며?,0,0.0
니가 뭔데 이래라 저래라 명령질이냐,1,1.0
배가 엄청 튀어나온 현재 니 몸좀 봐라,0,1.0
그러게 조치를 취해야 할 것 같아,0,0.0
소추 번탈 한남 주제에 꿈 한 번 거창하네ㅋㅋ,1,1.0
간호사들은 본인이 전문직이라 안했으면 좋겠어.,1,0.0
글쎄 만만하게 볼 거 같은데,0,0.0
결혼하면 여사친 을 마누라가 인정 할리 없음,0,0.0
#@인간및인간집단.인물.인물_무정보.남성#같은 못생긴 애한테도 소개팅을 해주는 착한 애가 있어?,1,1.0
너 왜 자꾸 장난이라고 하고 내 팔 때려?,0,0.0
"응, 매일 하고 있는데, 왜? 살 찐거같아?",0,0.0
