text,real_label,wrong_label
와 역대급 빌런이다,1,0.0
유럽 애들은 툭하면 인종차별이야 특히 동양인,0,1.0
응 너 태어난 거 보고 안심하셨어,1,0.0
시진핑은 보기만 해도 싫다,0,1.0
우리 딸도 한 달이면 밥값으로 20만원은 나가요,0,1.0
따지고 보면 지들도 여자 다리 사이에서 나왔으면서,0,1.0
상대에대한 예의가 없어,1,0.0
너는 170 이하인 남자랑 사귀는 거 가능 하냐?,1,0.0
솔직히 그러면 누가 애쓰게 정규직을 하려고 하겠냐?,1,0.0
사내도 산해진미를 다 먹어보면 별식이 땡기나 보다.,1,0.0
너의 취미는 낮잠자기라고 말해!,1,0.0
사장 나오라해! 내가 누군지 알아?,1,0.0
너무 피해망상적으로 사는거 아님?,0,1.0
이슬람은 진짜 상상을 초월하는 싸이코 종교더라,0,1.0
근데 몰골이 왜 그 모양이야?,0,1.0
남의 키 가지고 깝죽대지 좀 마,0,1.0
돈 없다고 징징대는 글이 또 올라왔네,0,1.0
어디 내놓기 부끄러운 소리는 일기장에만 써라,0,1.0
부동산 정책 무슨 생각으로 하는 거냐 도대체.,1,0.0
왜 나와서 여러사람 불편하게 하냐,1,0.0
쟤 부모 심정은 어떻겠노?,0,1.0
아니 한푼 아끼려면 커피를 끊어야지!!,1,0.0
아직 선배 버프 통하잖아,1,0.0
이게 진짜ㅡㅡ,1,0.0
카레국의 길거리 푸드 영상 봤어?,0,1.0
밖에 다닐때 마스크로 면상 쳐가리고 다녀라,0,1.0
동양인이 좋으면 넌 평생 동양인들이랑만 살아,0,1.0
어떻게 저 얼굴에서 저런 목소리가 나오냐,0,1.0
그럼 이제라도 니가 우유 좀 사다주든가~,0,1.0
얘 지금이 쥬라기 시대인 줄 착각하고 있네,0,1.0
무지성으로 한 번 맞아도 된다 그러니까 덥썩 맞은거지,0,1.0
우리도 노예처럼 일하는 거 모르나 봐,1,0.0
ㅋㅋㅋㅋ 인생이 얼마나 재미없으면 그럴까,0,1.0
확실히 페미는 지능순이라는 게 맞나봐,0,1.0
에휴 누구 좋으라고 군대가는지 원...,0,1.0
니네 아빠 고소 당했다며 ㅋㅋㅋ,0,1.0
너도 못한 주제에 왜 사람 차별해,0,1.0
좀 평소에 잘해주지,1,0.0
여자 발 패티쉬 좀 고치고 싶다,0,1.0
시비터는거는 장난 아니네,1,0.0
사업이 가당키나 하냐 저 인간 지능 수준에서 불가능이지,0,1.0
지체장애인 받아주는 학교 있었겠지.,1,0.0
니가 괜히 찔리니까 그런 거겠지,1,0.0
꽃뱀 무서워서 연애 못하겠다,0,1.0
나보다 더한놈이네 이거.,1,0.0
맞아 여초 직장이라서 설움이 많으니까 강아지한테 풀 수 밖에 없었던거야,1,0.0
아무리 못 돼도 너만 하겠냐.,0,1.0
그럴만하지~ 말그대로 학생이 안오니까 광고를 붙인거잖아,1,0.0
비깜이 만능인 줄 아는 양반들이 많아.,1,0.0
착하게 살아봤자 뭐하냐.,1,0.0
그건 네가 너무 눈이 낮아서 그래,0,1.0
재미도 없고 사고친 애들 이미지 세탁하는 프로그램같음,0,1.0
자기네 쪽에서 집회하니 무대응으로 일관하네,1,0.0
인생의 일순위가 애인인 애들은 진짜 어린 거다,1,0.0
저 작가 머리부터 발끝까지 뜯어고쳤다며?,1,0.0
야 너 머리 관리 좀 해라 머리 빠지는 것 같네,0,1.0
내말이 도대체 뭐가 저렇게 심각하게 문제가 된다고 저러는건지 모르겠네 진짜,1,0.0
내가 죽을 인간도 아닌데 불길하게 이런 소리는 도대체 왜 하는 거야?,1,0.0
쟤는 직업이 초등학교 교사인데 욕을 왜 저렇게 해?,1,0.0
진짜 연예계 개더럽다 스탭들도 신인 사람취급도 안 하는 거 어이없네,0,1.0
그렇게 도태되는거지,0,1.0
너무 개념없는 분인가 보네,0,1.0
문죄인 찍은 죄값,0,1.0
나도 쟤 보면 오그라들어,0,1.0
어우 손이 왜 그래?,1,0.0
도대체 누가 써주는 걸까?,1,0.0
소설이다~ 소설 ㅋㅋㅋㅋ,0,1.0
그래 알면 된거야 그리고 누가 만들어달래?,1,0.0
이런걸 만원씩이나 받고 팔다니,1,0.0
난 불륜중에서 아름다운 불륜이 있다고 본다?,0,1.0
최소한 사람 패는 건 막을 거다.,1,0.0
야 나 거기 주소 좀 알려주면 안되냐,1,0.0
그러게 준비하느라 힘들었는데 이게 뭐야,1,0.0
이거 생기부에 도움되는 건데~,1,0.0
노래방에서 자긴 안 부르고 듣기만 하는 사람 진짜 싫다,1,0.0
보험사 맨날 뭐하면 고객 탓이래. 지들이 보험 팔아 놓고서는.,0,1.0
야 어차피 인생은 존버가 승리하는 거야~,0,1.0
