text,label
잠 좀 그만자라,0
싯팔 짱깨련이었네 느금마도 짱깨임?,1
오늘도 고등학생이 비탈길 내려가다 전신주 박고 죽었대.,0
제발..그건 아니잖아,0
아니 개쌍도 같은기 어디서 전라도를 욕하는거야?,1
그러니까 몰래 슬쩍하는사람들도 있는거같아 비용도비용이고 스트레스받는다,0
요즘 시대에 일찍 뒤지는 것도 나쁘진 않지,1
그러니까 나도 이해 안가,0
아둥바둥 밑바닥 인생들끼리 잘 살아봐라,1
얘 하차하는 거 결국 이렇게 될 줄 알았다.,0
진짜 똥팔육과 노친네들은 고려장 해야 한다,1
알바비 들어오면 바로 주식한다,0
ㅋㅋ씹선비가 어때서?,1
인간이 초식동물이면 풀만 뜯어먹어도 살 수 있어야지.,0
"네 썩은 귀를 도려내고 고막을 터트리면 끝날 일이네, 부족하면 눈도 파줄게",1
야.이사람아 크락션소리 안들려?,0
고민하지 말고 빨리 죽어서 거름이나 되어줘.,1
어쩌다 갈색 보댕이를 만나게 됐냐?,1
성형 했다고? 전이랑 완전 똑같은데?,0
당연하지 나이를 거꾸로 먹었나봐,1
우리 어머니가 바람을 펴서 부모님이 이혼 하실거같아..,0
병원도 모르는거 보니 아프리카 원주민인가?,1
남자친구랑 이미 선약이 되있어서 안돼,0
이래서 전라도랑은 상종하면 안돼,1
남자들 지 여친 사진 올리는 거 보면 가오충 빼박이지,1
모든 연인들은 서로의 전과를 살펴 볼 수 있는 시스템이 있어야할 듯,0
너랑은 연을 끊는 게 맞겠다.,0
가치관이 안 맞아서 그런 거니까 너무 나쁘게는 말하지 말아줘,0
누가 일시적인거 모르냐?? 너는 그렇게 공감능력이 없어서 사회생활 어찌하냐??,1
여자는 가슴 한 F컵 정도는 되어야 매력있음,1
그래도 게임 속 사람들 말고 진짜 사람들이랑 지내는게 좋지,0
아니 내가 걔한테 죽으라고 한 것도 아니고 저정도는 얘기할 수 있지 않냐?,0
삼겹살이나 먹으러 가자,0
이건 진짜 어이가 없다.,0
그런데 굳이 군인을 왜 써야 되냐?,0
조금 불편한 것 빼고는 괜찮아.,0
게임하다가 이럴 수가 있는 거니,0
차좀 빼주세요,0
너는 어린애도 아니고 취향이 왜이렇게 유치하냐?,1
그게 뭐 그렇게 대단한 일이라고 그러지?,0
이건 후천적으로 고쳐지는 문제가 아니야... 그냥 난 선척적으로 신께서 못난 인간 1로 점찍고 만드신 걸거야.,1
실수라고 하지마.,0
남친이 자기 집 김장 할 때 오라고 하더라,0
조심해야겠다 작정하면 까딱하면 당할 듯,0
우리 선수들 너무 멋있지 않아?,0
일본인 유튜버 보면 잘생긴 사람 많던데...,0
"응응, 모델 겸 배우래! 완전 얼굴 내스타일 ㅠㅠ",0
내가 왜 사랑을 못 받고 커.,0
방구석에서 열폭하는 네 인생보다는 훨씬 났지 내가 ㅋㅋ,1
한겨레 믿고 거르는 신문인데 요새ㅋㅋ,1
심지어 그런 애가 직속 선임이면 걔한테 뭘 배우고 복종해야 돼,1
취소했다고? 남자새퀴가 비실하게 그런걸 취소하냐,1
응 느그 앰앱한테나 가서 꼬질러 어차피 고아인 것 같지만,1
뜬금없이 뭔 가정법? 머가리에 망상만 가득찼냐?ㅋㅋㅋ,1
한번 가서 조용히 해달라고 해봤어?,0
게다가 인물들이 죄다 성형충같이 생겨가지고 극혐이야.,1
저 연예인이 한국의 3대 미녀라고 본인 입으로 얘기하네.,0
그거 얼마나 된다고 좀 기다려!,0
여자 쭈쭈는 크면 클수록 좋아,1
여자도 운동하러 가는 건데 ..?,0
하여튼 남자들은 정신줄 제대로 붙잡지 않으면 이런 애들한테 잘못 걸려서 걸어다니는 ATM기 되는 거여,1
피해줬는데도 저 골목을 왜 빠져나오지를 못하냐,0
전라도놈들은 사람 등처먹는 족속들이야 믿을 놈들이 안돼,1
먼저 머저리같이 굴어놓고 좋게 얘기하라고 하면 좋게 말이 나오냐?,1
분노는 ㅋㅋ종교행사랍시고 꾸정물에 샤워하고 발광했는데 ㅈ미개한거지,1
저 의사놈 돈 잘 번다고 자랑 하더니 샘통이다,1
나 완전 좋은 생각 있음ㅋㅋ,0
아이스크림 먹을래?,0
배우병이란 게 진짜 있나봐,0
학교 기독교 동아리은 다 순결 지키나? ㅋㅋㅋ,1
아프리카사람들은 얼굴이 까맣게 생겨서 더럽고 저능해보여.,1
일문과를 다닌다라...,0
맞아 바퀴벌레같은 것들,1
그사람이 어디에 있을지 모르니까 길 다니기 무서워ㅜㅜ,0
야 너 뭐해? 뭘 그렇게 보고 있어?,0
페미사상 용서받고 싶으면 옷 야시시하게 입고 사과방송해.,1
늙으면 제발 곱게 죽었으면...,1
넘어가는 똥줄에 희망을 거는듯.,1
그냥 님은 집 안에서 번개탄 피우는 게 빠르겠네요,1
내가 쟤면 자살 충동 오지게 올 거 같아~,1
내 손해는 그것보다 훨씬 많지만 그냥 가만히 있는데?,0
할배들은 여적지 거기가 서냐?,1
저 년 보게 다리를 쫙쫙 벌리네 ㅋㅋ,1
이것들은 오지게 해 쳐먹고 걸리면 사퇴 빠이 빤스런이라니,1
무단투기된 쓰레기와 염전노예들의 콜라보,1
편하게 일 하는지 힘들게 일 하는지 너가 어떻게 알아?,0
지들 밥줄 하나 건사 못하는데 써주는 인간들을 숙청시켜야됨,1
할로윈 파티 때 뭐 하지?,0
고학번 틀니딱딱들이랑 등산하게 생겼음,1
나 시험 보는데 앞자리 여자가 레깅스를 입고 있었다?,0
아 또 죽었다.,0
이제 연예인도 자질시험이나 적성 검사 받고 나오게 해라 저런 저럼한 년 못나오게,1
ㅋㅋ갑자기 뭔 소리야?,0
으 지긋지긋한 자식팔이 때문에 이게 모냐,1
나 집에 들어가기 싫다고.,0
배달을 금지시켜야 됨.. 부릉이 충들 잠재우려면,1
댓글조작러 낳은 부모가 젤 불쌍하지,1
비게퍼 진짜 토할 것 같지 않냐?,1
빨리커라 따먹게,1
가만 보면 남자들은 덜떨어져갖고 대리효도에 미쳤음,1
하모배우는 걷기가 자기 인생 힐링이라고 책까지 냈었네,0
그렇게 살살 운동해서 언제 다이어트 할래?,0
너무한거 아닐까?,0
이렇게 겜 못하는 애들은 생전 처음이네...ㅋㅋ,1
그래? 내눈에는 같아 보이는데,0
사진이랑 달라?,0
와 진심 저게 예쁘냐?,0
"딸배가 죽었더라도, 그건 사실 동물이 로드킬 당한건데",1
그걸 밣고 또 음식점에 들어와서 냄새로 피해줘요 그냥 걸어다니는 민폐 덩어리야,1
문죄인이는 뭐가 뭔지도 모른다,1
탕 먹을때 왜 안 덜어서 먹냐?,0
요새 기사마다 핼러윈이라고 뜨네,0
너희들은 진상손님 vs 양심 없는 진상업주 누가 더 싫냐,0
유치원생도 알겠다.,1
이것도 와꾸 되는 애들 한정이고 배xx 같은 년은 꼴페미로 전직함,1
피임의 중요성을 오늘도 깨닫고가네요.....,0
야 남자친구가 바람피우는 거 같아 폰 봤는데 딴 여자 있어,0
맞아 그래야 죽을 때까지 입다물고 조심하게 살지,1
틀딱 교수 쉰내 나서 못 봐주겠네,1
대리 직원도 구했으면 그 사람이 솔직하게 말하지도 않았는데 그냥 휴직 쓰세요,0
능력 없어서 원나잇하는 거 알겠는데 돈좀 있으면 사먹어라.,1
"와 어디 가서 노래 만들 수 있다고 말 하지 마, 이게 뭐냐 초등학생이 만든 것 같은 노래는",1
왜 너도 아다인게 여전하노 ㅋㅋ,1
추워지니까 아토피도 올라오고 ㅠㅠ 힘들다,0
낮부터 등산하는 아재들 보면 다 마누라 집에 두고 바람만 피고 앉아있더라,1
젊어보일라고 발악을하네 ㅂ신들,1
어떤 대학들은 지역균형 선발 전형의 수능 최저 등급을 완화했대.,0
왜 국밥만큼 든든한 음식이 어딨다고 그래,0
엄마가 숏컷 제시하는대로 잘 와놓고 무슨소리야?,0
ㅆㅂ 길에서 담배피는 흡연충들 진짜 극혐이네 머가리는 장식인가,1
시체라도 빨리 찾아야 할텐데.,0
너는 무슨 그런 당연한 걸 묻니?,0
팀장님이 나만 싫어하는거 같아,0
원래 찔릴수록 발끈하는거잖아.,0
그럼 초등학교에 남자 선생 많지 않은데 왜 늘리자는 소리 안 하는 건데?,0
파호우 쿰척같다,1
아프리카는 치안이 안좋대,0
올해 낸 앨범 다 엄청 팔렸어,0
정신 나갔네 니네 가정이나 잘 챙기길,1
와 아침부터 게이커플 봤더니 토나옴,1
아니 금일이 왜 오늘이야 금요일이지,0
ㅋㅋㅋ 우리나라 선수들은 한녀가 벌려줘도 조준 못 할듯,1
댁 다리 본 거 아닌데요,0
진짜 그지근성 쓰레기들,1
아 핑프야 제발 검색 좀 하자,1
토나올것 같으니까 님 얼굴부터 개조하면 내가 할께요.,1
이기적인 것들이 변명도 가지가지다,1
진짜 맨날 이러는 것도 피곤하네 ㅋㅋㅋ,0
성형 100%다 진짜.,1
뭔데 남의 집 앞에 침 뱉어요?,0
"그니까, 외국 언냐들이 지네들 좋아할 거라는 망상하는 거 보면 너무 불쌍해",1
어딜가나 나대는 섬숭이들이 문제라니까,1
장갑 끼기 싫어하는 안싸 매니아의 최후지 ㅉㅉ,1
"미안하다, 고맙다, 방명록도 쓰고... ㅋㅋㅋ",0
수능 망쳐서 너무 슬퍼,0
키우던 동물버리는 건 인간도아님,1
저건 아빠뻘도 아니고 할아버지 뻘이다ㅋㅋ,1
야 바닥에 조심해 은행 많다,0
얘는 도대체 사람들이 왜빠는지 이해가 안감,1
나라에 집달라는 것들은 얼마나 부모가 거지면 이렇게 돈달라고 하냐?,1
걔는 야구 잘 할때까지 빠다로 ㅈㄴ 때려야 정신을 차려,1
일본 여자? 왜 일본 여자가 좋아?,0
너는 그냥 이 세상에서 사라지는게 사회에 도움일텐데.,1
죽여봐 돈좀볼게ㅋㅋ멍청아,1
어쩌라고 5만원 밖에 안하는데 사준다고 생색내기는 그지같이 쪼잔하게,1
니들 좋자고 남의 차 밑에 고양이 밥 쳐넣고 그러기만 해봐라 걸리면 죽는다,1
혹 임신이라도 됐다하면 남자는 책임없다 내빼는게 국룰.,1
니 몸뚱아리를 보고도 햄버거가 먹고 싶냐,1
외모로 승부하는 곳에서 공부 1등이 무슨 자랑인지,1
"나는 연애는 골 빈 애랑, 결혼은 골 찬 애랑 하는 게 제일 중요하다고 생각하는데",1
ㅋㅋㅋ 돈으로 똥닦으려고 하나 노친네 정신머리 다 빠져가지고,1
짱개 언어 배워서 뭐에 써먹게.,1
몰라 언냐들은 그게 삶의 낙이겠지,1
과제 다 했으면 나 좀 보여줘~,0
거 혹시 뇌에 문제가 있습니까?,1
돈에 환장한 페미냐,1
아니면 능력없는 애뷔덕에 다같이 손가락 빨다 뒤지는거지 뭐,1
ㅋㅋ 가서 뭐라 말하고 있는지 한 번 들어봐.,0
국민 가랑이 찢어서 다 거지 만들자는 수작이지.,1
살려만 주세요.,0
태양 가린다 비켜. 썬텐하는 거 안보여?,0
칼 뽑는데 주저하면 니가 칼 맞는거 몰라?,1
으이구 괜히 말꺼냈네,0
직장 때려치고 나도 사업이나 해볼까,0
배운 건 없고 가진 건 그저 몸뚱아리와 오토바이 한 대 뿐..,1
한번 시도해봐.,0
너 그 인천 공항 보고 이야기하는거지?,0
에휴 뵹신색기 ㅋㅋ 주식은 줜나 운빨 아님? 그럴 돈 있으면 나 밥이나 사줘 야발련아,1
너희들이 선택한 공산당이니 악으로 깡으로 버텨라,1
생각 있으면 저러고 살겠냐.,1
여자 손도 못 잡아본 찐따들이 가겠지 ㅋㅋ,1
요즘 많이 끼던데 근데 눈 안좋은데 왜 끼는거임 ?,0
남들은 다 가지고 있는데 나만 운전을 못하니까 내가 바보 같아 보이기도 하고,0
길바닥에서 뭐 파는 사람을 부모로 뒀으면 집 가난하다는 거 인증하는 꼴 아님?,1
어 여장남자 같아 징그러워,1
미안 다시 집중해 볼게,0
그 영화에 야한 게 보여?,0
그러게 맨날 돈 많은 남자 만나고 싶다더니 성공했네.,0
내 말이 틀렸니?,0
양비론 주장하는 홍어는 아웃이다.,1
어제 갑자기 남사친이 나한테 고백하더라... 당황스러워 난 진짜 친구였다고 생각했거든..,0
친구랑 술 한 잔 하고 가려구요,0
니 얼굴은 바퀴벌레 더듬이 만도 못하잖아,1
예전같았으면 어린게 틀딱 만나서 너덜너덜 해졌네 했을 듯,1
인터뷰보니 자취방에 혼자 산다더구만,0
아니 지능이 왜 떨어져,0
조만간 핵 맞고 한강이 사막이 될지도 모르지,1
아이돌 파면서 유사연애 하는 년들 ㅈㄴ 한심해,1
어머 부모를 정신병원에 쳐넣어야겠네,1
응 개모쏠아다충이 더 시끄럽죠?,1
캬~골 빈 것들끼리 만나서 참 행복하겠다 ㅋㅋㅋ,1
내말이 해외에서도 알아봐주는 대기업 인데,0
입에서 똥내나 풍길 줄 알지 확 죽여버려?,1
소머리 국밥에 소머리 대신 기레기 머리 말아서 한그릇 뚝딱하고 싶네,1
일하기 편하니까 디룩디룩 살이 찐 거겠지.,1
게임에 미쳐서 어린 아이를 두고 pc방 가는 게 부모냐?,1
너도 폐암 걸려서 죽어라,1
그렇게 돈 쓸데가 없나,0
나 오늘 슈링크하고 안면거상술 받고왔어,0
그것도 어디 가랭이벌려서 남이 데려가주는거 따라가는거임,1
날씬하긴 한데 허리가 전혀 없는 초딩몸매잖아.,1
여자가 어느 정도 탱탱해야 먹음직스럽지~,1
너 무슨 알바한다고 했냐/,0
사이즈가 여러개라는 걸 보여주고 싶어서 그런가봐,0
