text,real_label,wrong_label
저 여자들은 군인 처우 개선이 그렇게 싫나?,0,1.0
나였으면 자살했다.,1,0.0
그런데 몇몇 고아들이 수녀님 돈을 훔쳐 달아났대,0,1.0
그런데 그짓거리를 하고 있는거야?,1,0.0
태권도는 애들 키 작아져서 안돼!,0,1.0
저런 비주얼로는 음악이 좋아봐야 되겠냐?,1,0.0
여자도 경제활동합니다. 자기 돈 쓰는게 문제입니까?,0,1.0
범죄자는 감옥으로 보내야지,0,1.0
조금이라도 조심해야 하니까 격리시켜 버려야 함.,1,0.0
내 소원은 #@인간및인간집단.인물.인물_무정보.여성#랑 사귀는거야,0,1.0
이젠 내가 너마저 의심을 하는걸보니 정말 병원을 가야 하나봐,0,1.0
어제도 배달하는 딸배가 속도 안 줄이고 집앞 골목을 달리더라,1,0.0
니가 직접본거임?,0,1.0
너도 찐 이구나 대단하다,0,1.0
"중딩이 벌써부터 성범죄 당했다고 무고를 저지르다니, 역시 요즘 애들은 빠르군.",0,1.0
봤지 한심 하더라,1,0.0
니네 동생 동네에서 유명한 일진이라며?,0,1.0
배가 엄청 튀어나온 현재 니 몸좀 봐라,0,1.0
간호사들은 본인이 전문직이라 안했으면 좋겠어.,1,0.0
결혼하면 여사친 을 마누라가 인정 할리 없음,0,1.0
너 왜 자꾸 장난이라고 하고 내 팔 때려?,0,1.0
"응, 매일 하고 있는데, 왜? 살 찐거같아?",0,1.0
여자는 수위는 지키되 몸매 드러나게 입는 게 젤 야함,0,1.0
좀 안 친하면 어떠냐 초딩들도 반에서 9명씩은 안 친하게 지냄,0,1.0
옷이 터질거 같애,1,0.0
곧 관 짤 거 같은데 놔둬라.,1,0.0
ㅋㅋㅋ 집이 없어서 못 사는 게 아니고 가격 때문에 못 사는 건데 뭔 헛소리야,0,1.0
이런 일이 벌써 몇 번째야 우리가 흑우로 보이냐?,0,1.0
너 이번에 공부 열심히 했자나 성적 잘 나왔어?,0,1.0
아 흑인들은 그냥 보면 너무 무서워,0,1.0
자존심은 좀 지키며 살자,1,0.0
그리고 너 어디 가서 그런 말 하면 팬들한테 혼나,0,1.0
너 왜 이렇게 살 쪘어 ㅋㅋ,0,1.0
살기 싫으면 농약으로 칵테일 만들어줄까?,1,0.0
저렇게 하는 거면 대통령 내가 해도 되겠다 ㅋㅋ,0,1.0
"난민이 아니라 특별공로자라니, 말이 되나",0,1.0
젓가락으로 집어먹을 음식이 많네,0,1.0
넌 자유로워지려면 도대체 몇 년 남은 거니?,0,1.0
#@#은 싫은데 #@# 여자는 좋으신 분들 있나요?,0,1.0
ㅋㅋㅋㅋ 나 놀 땐 놀아도 공부할 때는 열심히 함,0,1.0
그래도 이 여자 덕에 모르는 거 알게 됐잖아.,0,1.0
그러면서 맨날 사회 탓만 하면 뭐가 달라지냐?,1,0.0
"저소득층, 임대주택 거주자, 외노자도 도와주면 안됨",1,0.0
상사라고 성향까지 간섭해,1,0.0
이제까지 남자친구랑 데이트 비용 좀 더 냈는데 데이트 통장 만들쟤,0,1.0
머리짧고 그냥 인터넷 돌아다니는 의성어 좀 썼다고 온라인 테러.. 없던 혐오도 생기겠네,0,1.0
예쁜여자면 환장하고 대접해주는게 남자들인데 왜 여자 탓을 함? ㅋㅋ,0,1.0
남의 아이디어만이 아니라 남의 남편까지 빼았았으니 내가 당신 딸이 될 수 없었지.,0,1.0
너 뭐 먹고 싶어?,0,1.0
네가 너무 순진한 것 같아서 말해준 것 뿐이야,0,1.0
다 자기관리 안 해서 그럼.,1,0.0
와 새벽인데 #@#에 돗자리 깔고 앉은 사람들 되게 많다,0,1.0
