text,real_label,wrong_label
그런데 그짓거리를 하고 있는거야?,1,0.0
너 그렇게 연락안하다 나중에 친구 다 떠난다,1,0.0
"#@인간및인간집단.인물.정치인.남성# 자기는 능력있다고 말하는데, 솔까 한번도 국회의원 되지 못했잖아?",0,1.0
"중딩이 벌써부터 성범죄 당했다고 무고를 저지르다니, 역시 요즘 애들은 빠르군.",0,1.0
배가 엄청 튀어나온 현재 니 몸좀 봐라,0,1.0
여자는 수위는 지키되 몸매 드러나게 입는 게 젤 야함,0,1.0
옷이 터질거 같애,1,0.0
ㅋㅋㅋ 집이 없어서 못 사는 게 아니고 가격 때문에 못 사는 건데 뭔 헛소리야,0,1.0
이런 일이 벌써 몇 번째야 우리가 흑우로 보이냐?,0,1.0
아 흑인들은 그냥 보면 너무 무서워,0,1.0
자존심은 좀 지키며 살자,1,0.0
저렇게 하는 거면 대통령 내가 해도 되겠다 ㅋㅋ,0,1.0
인종차별 좀 하지 마라 ㅉㅉ,1,0.0
좌파와는 말도 섞지 말아야지,0,1.0
너 자꾸 까불어라,1,0.0
여자들은 자기들끼리 왕따시키는 걸 잘하더라?,1,0.0
게이팝이라고 검색 해보면 게이 같다고 비난당하던데,1,0.0
굳이 털바퀴를 주어서까지 키운다고?,1,0.0
저 사람 아들이 문제면 #@인간및인간집단.인물.정치인.남성#이 아들도 당연히 문제아니야?,1,0.0
그러면서 맨날 사회 탓만 하면 뭐가 달라지냐?,1,0.0
상사라고 성향까지 간섭해,1,0.0
우와 진짜 별론데?ㅋㅋ,1,0.0
제가 틀린말 한건 아닌거 같은데 ㅋ,1,0.0
머리짧고 그냥 인터넷 돌아다니는 의성어 좀 썼다고 온라인 테러.. 없던 혐오도 생기겠네,0,1.0
백신 확보도 못하고 정부탓이 아니라니,1,0.0
예쁜여자면 환장하고 대접해주는게 남자들인데 왜 여자 탓을 함? ㅋㅋ,0,1.0
남의 아이디어만이 아니라 남의 남편까지 빼았았으니 내가 당신 딸이 될 수 없었지.,0,1.0
"로또는 맞으면 세금 떼고, 백신 맞아 죽으면 인과관계 인정 안해주고?",1,0.0
저것들은 잠도 없나,1,0.0
