text,real_label,wrong_label
셀카로 안구테러 좀 그만 했으면 좋겠다,1,0.0
쟤는 친구들을 의심하고 먼저 손절해버리는게 피해망상 환자같아,1,0.0
아 쒸 국물 튀었잔아 어쩔거야,1,0.0
장님 행세 하는 애들도 있다잖아,1,0.0
니도 그렇나 나도 헛대 서서 죽것다,6,0.0
민노총은 악질 깡패집단이야.,1,0.0
핑계대는 수준으로 열심히 살 생각을 좀 해라,1,0.0
야 이 가슴은 완전 밥그릇 아니냐?,6,0.0
역시 머리 텅텅이인 애들은 상대하기 피곤하다,1,0.0
결국 같은 능지끼리 만났을때 일어 나는 일이죠?,1,0.0
존못충도 이런 노래 들으면서 상상연애할 자격은 있나 봄 ㅋㅋㅋ,1,0.0
맞음 온 가족 다 걸리고 생계 어려워져야 정신 차리려나,1,0.0
너 찔러 죽이려고 태어났다.,5,0.0
내 과제물에 분탕질 치지마 진짜 빡치니까,1,0.0
뺀질대고 얍삽하게 살면서 자리 지키는 사람 바보 만드는 거 정말 이기적이다.,1,0.0
염불을 하는지 뭘 하는지 도무지 알아들을수 있어야지,1,0.0
와.. 그건 부처님도 살생할듯,1,0.0
적어도 너 같은 루저는 그 여자도 맘에 안 들어 하지 않을까?,1,0.0
지가 뭔데 교육을 하고 나발이고 꼴값을 떨어,1,0.0
곧 죽을거니까 그냥 묻으라고,5,0.0
ㅋㅋㅋ 몸은 아직 달아서 박아달라고 하나봐,6,0.0
그니까 ㅋㅋㅋ누구 눈엔 누구만 보인다더니,1,0.0
ㅋㅋ왜 계속 열심히 안한척함? 하는거 다봤구만ㅋㅋ 천재인척 해볼라고 발악을 하노,1,0.0
자기만족이라잖아. 홀딱 벗은 몸 찍어서 인스타에 올려야지 ㅋㅋ,1,0.0
"뭐가 멋있어? 잘난척에 사람 무시나 하는데, 기생오라비처럼 생겨서는",1,0.0
그러면 개통령이나하지.,1,0.0
너같은 버러지를 낳고 미역국 먹은 엄마가 불쌍하다,1,0.0
앞으로 겨털 많은 사람들은 다른 사람한테 민폐 주지 말고 털 밀기로 약속해야 함.,1,0.0
그러게. 뒷북만 치다 금방 변절자 소리 듣게 생겼다. 멍청하네.,1,0.0
니들 같은 머저리 놈들 때문에 나도 회사 망해서 슬픈거야 이것들아,7,0.0
너 말하는거 진짜 배알꼴리는데? ㅋㅋ,1,0.0
외국인하고 결혼해서 다문화특공 받은 후 이혼하라는 얘기지?,1,0.0
아 진짜 역겨워,3,0.0
능력도 안 되는 사람들이 권력 맛 좀 보려고 설치니까 그 고통은 고스란히 국민들이 떠안게 되네.,1,0.0
넌 단 과일을 안 가려 먹어서 그렇게 뚱뚱하게 살이 쪘구나?,1,0.0
이렇게 국민을 무시하는 정권은 없었음,1,0.0
쟤네는 그냥 돈 뜯어가는 쓰레기들이야,1,0.0
니가 나한테 그렇게 말하는 이유가 뭐야?얼굴도 못생긴게.,1,0.0
너 같이 싼티나는 싸구려 입맛 가지고 있는 애는 구분 못 하겠지,1,0.0
속옷 벗기기 가능; 벗으세요 하면 뒤집어져서 벗을듯 ㅋ,6,0.0
"응, 78년 생 말띠 여자들이 기 세고 막나가기로 유명하잖아.",2,0.0
본인 몸 관리도 안 하면서; 페미들 깎아 내리네?,1,0.0
넌 교정 꼭 해야겠다,1,0.0
행복하지 못하고 가족들도 다 불행하다가 뒤졌으면,1,0.0
"파란 색인데 무슨, 넌 계절도 몰라? 아직 여름이야. 바보같아",2,0.0
쟤넨 넘어지면 군면제 되니까 속으로는 좋아할텐데 ㅋㅋㅋ,1,0.0
난 꽃뱀마냥 고소 안하고 돈이나 받을래,1,0.0
어미 아비가 잘못 키워으니 애가 저 모양이지,1,0.0
왜 또 중2병 걸린 급식마냥 그러는데,1,0.0
장애인은 죽어주는 게 답이긴 하지,3,0.0
"교회 여자애들 중에도 몸 막 굴리면서, 깨끗한 척 오지는 애들 많어",1,0.0
응 난 사실만 얘기해~ 멍청한놈들만 걸리는게 코로나 아니냐?,1,0.0
걔는 면상이 너무 구려서 안됨 ㅋㅋㅋ,1,0.0
개줌마 몸통박치기 개빡쳐서 줘팰뻔 했다,1,0.0
그게 왜 궁금하냐. 니 머리통 뽀개 보면 될 걸.,1,0.0
돈이 없으면 애랑 손잡고 자살이나 해,1,0.0
온 나라를 정신병원으로 만들어도 치료불가한 정신병이 사이비임ㅋㅋ,1,0.0
똥가창력이 언제부터 가수였나,1,0.0
헛소리하는 니 혀를 뽑고 싶은데,4,0.0
주식해서 떼돈 벌고 뒷줄 밝혀지니까 톡꼈다?,1,0.0
너 애정결핍이야?,1,0.0
니부터 노잼인데 주변에 웃긴 사람이 있겠냐?,1,0.0
그래서 네가 잼민이 수준에서 발전이 없는 거야,1,0.0
걔네는 좀 서 있어도 티도 안 나 어차피 비실거리는 것들이 뭐가 힘들다고,1,0.0
쿨찐,1,0.0
뭐 맨날 오라가라야 지는 다리가 부러졌나,1,0.0
게이들은 원래 남자만 보면 환장함?,2,0.0
많이 먹어서 살이 찌는걸 알면 줄여야될거아니야? 멍청하네 역시,1,0.0
야 진짜 니 남친 니보다 10살많은데 아직 결혼 못한 거면 그냥 하자가 있는 거임,2,0.0
아니 그래도 얘가 잡일 다 하는거잖아 너 그렇게 말하면 안되지,1,0.0
유저들 개돼지로 보는 #@인간및인간집단.조직및단체.기업#는 망할 때가 됐음,1,0.0
이 여자 엉덩이에 비비고싶지 않냐,6,0.0
일도 안하면서 무슨 양심으로 밥 처먹고 다니는지 모르겠네,1,0.0
그런 앰생 컨셉이 방송에서 먹힌 거지,1,0.0
"와 진짜 별 쓸데없는, 궁금하지도 않은 말 꺼내네.",1,0.0
ㅋㅋ 고등학교 4학년 5학년임 그냥,1,0.0
백신은 실제로 사람이 뒤지는데도 조~용,3,0.0
대통령이 친북 친중이니 조선족들이 활개를 치고 다니는 거야,3,0.0
지는 해보면 뭐 얼마나 해봤다고 ㅋㅋ,1,0.0
뇌에 주름 하나 없을 것처럼 생겼네,1,0.0
전범 국가끼리 물고 빠는 거 레전드네,1,0.0
아.. 진짜 기차역에 노숙자들 보면 걍 안쓰럽기보다는 더럽고 짜증남.,1,0.0
#@#을 갈거면 유학을 왜가냐 ㅋㅋㅋ 최소 선진국은 가야될거아니야 후진국을 왜가 냄새나고 더러운데,1,0.0
난 그 비제이 목소리 너무 역겨워서 안들음,3,0.0
"와, 맨날 누워있는 애가 공부하는 티 내고 싶어하는 거 역겹다.",1,0.0
백신 안 맞아서 같이 놀기 싫음,1,0.0
너 눈으론 너 머리 상태 인식도 못해?,1,0.0
"한녀 전형적인 질투심이 발휘되는, 보적보의 현장이지",1,0.0
무슨 킹콩이냐? 돼지같아서 살살 걷는것도 못하냐,1,0.0
당연히 사형을 선고하고 집행해야 한다.,1,0.0
대체 한녀들은 왜 멀쩡한 캐릭터를 게이로 만드는 거야?,1,0.0
골 빈 애들은 몸으로 때우는 거지 뭐 자연의 이치임,1,0.0
넌 부모 없어서 배운 것도 없지?,3,0.0
넌 어깨는 깡패인데 다리는 약쟁이 같아서 꼴보기 싫어,1,0.0
ㅋㅋ 그런 의미에서 너는 시집은 다 갔네?,1,0.0
뭐래 목소리가 청량한 거 가지고 왜 태클이야 ㅋㅋ,1,0.0
니도 참 정성스러운 정신병같아서 거른다,1,0.0
그런 소리 할 때 거울이나 한번 더 보셈.,1,0.0
아 나도 그 생각ㅋㅋ귀척에 억지텐션 곧 상폐각일 듯ㅋㅋ,1,0.0
아 이게 다 끝난거에요? ㅋㅋㅋㅋㅋ 너무뻔뻔한거아님?,1,0.0
ㅋㅋㅋ 그건 인정이지 좌빨 문화잖아 다,1,0.0
도박장 주가 떡락한드아,1,0.0
그딴걸 왜함 진짜 시간낭비임. 관심종자들이나 하는거임,1,0.0
왜 이렇게 나보다 어린 애들이 막 대하지,1,0.0
선택적 자살러 또 저러네,1,0.0
몸이 뜨거워지고 그러지?,1,0.0
팬티가 보일락 말락 하니까 꼴리더라고,6,0.0
네가 짜증나게 만드니까 그렇지.,1,0.0
아주 인성이 개쓰레기들이네,1,0.0
그런 회사들은 입구 냄새부터 다르더라 술집 향수랑 똑같아,3,0.0
급식이 아니면 더 위험한 놈일세 ㅋㅋㅋ 차라리급식충이라고 해라.,3,0.0
그러게 생각이 없나? 저렇게 버리면 당연히 알 텐데... 숙소 앞에 버리는 것도 레전드네 ㅋㅋㅋ,1,0.0
누가 보면 자기가 쭉쭉빵빵한 연예인인 줄 ㅋㅋㅋ,1,0.0
그 가수에 그 팬이지 수준 안봐도 딱 나오죠?,1,0.0
그럼 불쌍하다고 보호하라고 난리치지말고 니가 데려다가 키워,1,0.0
저런 인간에게 조문하고 슬퍼하는 인간들 보면 진짜 어느 세상에 내가 살고 있나 싶다,1,0.0
흑인인 줄 알았다.,1,0.0
사기를 쳐도 돼지 우리를 사람 운반하는 똥차로 보이게는 해줄테니 헛소리 말고 맡길 수 있을 때 맡겨라,1,0.0
너는 사람 처럼 생기지도 않았어,1,0.0
요즘 글들 말하는 꼬라지 보면,1,0.0
그러게 저 만화는 2화 작가부터 노답인데,1,0.0
이 거짓 선동꾼아 입만 열었다하면 거짓말이네,1,0.0
쟤는 아이돌인데 왤케 못생김?,1,0.0
그건 좋은데 너무 나대니까 꼴불견이잖아,1,0.0
하여간 나대는 거 하나는 월드클라스.,1,0.0
의젖인 게 뭔 자랑이라고 말하고 다니냐,1,0.0
아 웁스 사람이셨구나 죄송한데 전 심해어 닮은 사람이랑은 못 사귐요,1,0.0
몸으로 배우면 돈 다 태우고 자살하든가 주식을 끊든가 하겠지,1,0.0
물고기들이 완전 포식하겠네요 ㅎㅎ 날 풀리면 회나 떠먹으러 가야지,1,0.0
"떼 돈은 벌고 세금은 안 내고, 날강도들이 따로 없네",1,0.0
넌 상받을 주제가 못된다,1,0.0
야 니 솔직히 왕따지ㅋㅋㅋ,1,0.0
약쟁이 놈들 다 잡아서 사형을 시키든가 해야지,3,0.0
저거는 사고라기보다는 자살 로드킬 아니냐?,1,0.0
이러니까 국민들이 개돼지 소리를 듣는거야,1,0.0
능력 떨어져서 남들 다 하는 것 못하면 구걸은 다른 데 가서 해라,1,0.0
바보같이 이랬다 저랬다 하지 말고 똑바로 말해.,1,0.0
요 주변에 #@# 만 봐도 알거아니야 ㅋㅋ 한국으로 밀입국해서 돈 버는데 사람 취급 못받는거 많이 봤잖아,1,0.0
응 너희 모부가 더 그지야,1,0.0
저딴 애들이 한류 어쩌고라니 나라 망신 쟤가 다 시킴,1,0.0
그걸 또 횟수채우고 상장받고 자랑한다고 올려요 개패고싶게 진짜 ㅋㅋ,1,0.0
쟤네는 꼭 저렇게 엥엥거리면서 울더라,1,0.0
ㅋㅋ진짜 보기도 부담스럽다.,1,0.0
사회 생활에서 여자라는 생물이 뻔뻔한 거는 디폴트 값이라 생각하고 살아야 한다.,1,0.0
개만도 못한 주인을 따를것 같아?,1,0.0
선배가 후배들 앞 길 막고 다니네ㅋ,1,0.0
야 그런 말도 말이라고 하냐? ㅋㅋ,1,0.0
베트남에서 개발한 백신을 믿냐?,1,0.0
너는 너가 해야 될 일은 다 짬때렸으니까 그렇게 한가한 소리가 절로 나오지,1,0.0
재 입 냄새 너무 심하지 않아? 아침에 멀 먹은거지?,1,0.0
조선상놈 시정잡배들은 교미를 법적으로 막아야함,1,0.0
국개의원들 부업으로 개그도 하는 듯 ㅋㅋㅋ,1,0.0
꼬튜에 점 3개 있는 것 까지 알고 있음 많이 아는 거 아냐?,6,0.0
혼자서 카페 가서 음료도 못 시키는 찌질함.,1,0.0
이상하다고 솔직히 말해 줄 친구도 없나봐,1,0.0
내말이 그냥 입다물고 응원이나 할것이지,1,0.0
귀띔은 무슨 귓방망이를 날려버리고 싶네,4,0.0
저런 놈들은 탈모빔 맞아서 참교육 좀 받아야한다,1,0.0
다른 사람도 아니고 지 아들을 태우고 술 먹고 운전을 하는 게 인간이야?,1,0.0
뇌절한 놈이라 충분히 가능했겠지,1,0.0
길가다 자기 애랑 같이 뒤지길 바란다,4,0.0
응 이제 제발 티비에 안 나왔으면 좋겠다.,3,0.0
저런 데 좋다고 쫄래쫄래 가는 것도 한심하다,1,0.0
완전 개돼지들 천지임,1,0.0
조금 있으면 흑인 피부랑 비슷해질 듯,2,0.0
배가 불러서 장사하기 싫으신 모양이네,1,0.0
지금 말려도 시원찮을 마당에 기자 눔 약팔고 있지.,1,0.0
실제로 보면 그런 뚱땡이는 진짜 두발로 걷는게 기적인듯.,1,0.0
벽에 똥칠할 때까지 살 작정인가봐,1,0.0
니 얼굴이 이쁘면 도른거지 킹콩아,1,0.0
무식한 거 티 내는 방법도 가지가지구나,1,0.0
아니 니는 왜 요리를 꾸준히 해도 안 느냐?,1,0.0
#@인간및인간집단.인물.정치인.남성# BTS 이용해먹고 이번엔 김연경 숟가락 얹기 #@#이한테 배웠냐?,1,0.0
어디가 근육임? 개나소나 근돼라 하노,1,0.0
완전 이혼사유야 이혼사유ㅋㅋㅋ,1,0.0
닌 키부심 부리는 기린상이면서 ㅋㅋ,1,0.0
아 네^^ 당신은 유병장수 하세여,1,0.0
멍청하고 골빈 애가 우리랑 같은 페미인게 너무 창피해.,1,0.0
뇌세포 수준이 불가사리냐?,1,0.0
"저런 과한 타투는 그냥 지저분해보임, 낙서같아",1,0.0
그 자식들 포크레인 숟가락으로 머리를 빠개버려야 되는데.,4,0.0
그냥 올림픽 공원에 버려,1,0.0
저것들은 잠도 없나,1,0.0
왜 맨날 한남들 어쩌구 하면서 울어대는 거야?,3,0.0
인생 포기하고 싶다 ㅋㅋ,1,0.0
양심없네. 꼴보기 싫다.,1,0.0
이게 뚤린입이라고 막지르네 저리가라 좋은말할때,1,0.0
쟤는 TV 나올 때마다 옥수수를 털어버리고 싶어,4,0.0
#@인간및인간집단.인물.정치인.남성# 주변은 부동산 투기꾼들이 드글드글하구만.,1,0.0
한국 여자 싫다고 다른 여자 만날 수 있는 줄 아냐?,1,0.0
니 변이나 쳐먹어라 말귀 못 알아 먹는 놈아,1,0.0
반찬통 많던데 반찬 좀 챙겨줘. 너만 배불리 먹지 말고. 기분 더럽게,1,0.0
어쩌다 저런 ㅅㄲ가 태어났을까?,7,0.0
이런 언론사는 폐간이 답이다,1,0.0
공동묘지도 아니고 온통 십자가 불빛 뿐이야,1,0.0
니 얼굴은 돈 갖다줘도 안 찍어줄 것 같으니까 걱정하지마ㅋㅋ,1,0.0
그런 거 보면 돈이 지능이랑 아무 관계 없는 것 같아. 자본은 능지 없는 애들 사이에서 돈다,1,0.0
이 연예인 관련 기사 너무 많이 뜨지 않아? 언플 너무 심하다 ㅋㅋ,3,0.0
이 세상 다 자기같은 줄 아는 커뮤찐따의 정신승리 ㄷㄷ,1,0.0
그게 무슨 개뼉다귀 같은 음모론이냐?,1,0.0
너 남자가 부엌에 들어오면 안돼~,2,0.0
로린이는 전부 다 핑두임ㅋㅋ,6,0.0
피임은 잘 했고?,6,0.0
딸배들 오토바이 고아처럼 모네,7,0.0
먼지는 서해 건너 #@#으로 날려버리고.,2,0.0
아니 내가 미쳤냐 꼴통들이나 하는 일을 내가 왜 하냐.,1,0.0
요즘 젊은 애들은 아주 글러먹었어,1,0.0
예쁘고 말고를 떠나서 인성더러우면 그냥 사람취급하기싫음,1,0.0
너 같이 애매하게 멍청한 놈들이 항상 어장에 살더라,1,0.0
반지하가 사람이 살 곳이냐? 옷에서 곰팡이 냄새날 것 같아.,1,0.0
그렇네… 나이 먹고 돈 밝히고 속물이네ㅋㅋㅋ,1,0.0
시벙생이가 죽지않을만큼 패도 되다는거지.,1,0.0
"#@인간및인간집단.인물.인물_무정보.여성# 이대 입학 복구시킨다면, 20만 소머리들의 진정성을 믿으마.",1,0.0
이제 짜장 분리수거하면 그것보단 나은 인사가 되겠지,1,0.0
지금 자면 너 평생 눈을 못뜨게 해줄게.,4,0.0
자고로 옆에 여자가 있어야 술맛이 나지.,2,0.0
"저번에 남탕 주작도 아님말고 하더니, 한남의 역사 여기다 다 아카이빙해야함",1,0.0
ㅇㅇ진짜 도륙 마렵지 않냐,3,0.0
돈도 없으면서 욕심만 많네,1,0.0
자기 꺼 자기가 배끼는 거 안 창피할까?,1,0.0
요리 전공인 사람한테 칼질 고라니하는 사람은 또 처음본다.,1,0.0
평상시에 일본 옹호할 때부터 알아봤다…쯧쯧.,1,0.0
성적 폭행한 사람들 얼굴 대문짝만하게 갖다 붙였으면 좋겠어.,1,0.0
조선녀한테 통장을 어떻게 맡겨 ㅋㅋㅋ,1,0.0
넌 사귀고 싶어도 아무도 안 만나주잖아?,1,0.0
저게 디저트냐 돼지 사료지,1,0.0
남자친구만 배신감 들겠지,1,0.0
저렇게 살만 디룩디룩쪄서 못생겨가지고 스스로 창피하지도 않나봐,1,0.0
이제 정신 감정 받고 감면 노리겠지,3,0.0
괜찮아 #@인간및인간집단.인물.방송인.남성#은 니 얼굴 보고 도망갈 거야,1,0.0
월삼백이상 못벌면 그게 직업이냐 알바지!,1,0.0
넌 애가 왜 그렇게 음침하니 화장도 하고 좀 꾸며 봐라,1,0.0
개그맨 주제에 무슨 정치적 발언이냐,3,0.0
앞이 보이긴 하나?,1,0.0
문과 치고 제대로 일할 줄 아는 인간이 하나 없음.,1,0.0
현금만 고집하는 것도 수상하다,1,0.0
이야 진짜 못생겼다 내 발톱처럼 생겼네,1,0.0
너희도 노력하면 흙수저 벗어나 성공할 수 있다고 기망하는 것들.,1,0.0
저딴 쓰레기같은 인간한테 배운 님 애도 쓰레기일듯,1,0.0
둘다 콧볼 축소 수술 좀 해야될듯 돼지같이 생겻네,1,0.0
"얍삽한 놈, 어디까지 버티나 보자.",1,0.0
뻔뻔한 걸론 #@인간및인간집단.인물.정치인.여성#도 안 밀리겠던데...,1,0.0
굶으라고 그래. 언제부터 날 챙겼다고.,2,0.0
담임 진짜 꼰대 같네.,4,0.0
그냥 보고만 있어도 냄새가 날 것 같어,1,0.0
다 저게 진짜 십자가냐 온갖 사이비 투성이지.,1,0.0
이래서 아무나 다 하는 일은 무시 당할 수 밖에,1,0.0
으이구 구질구질하긴! 그래서 제대로 된 거 사라고 했잖아.,1,0.0
10년 전 집나가더니 아직도 버릇 못 고쳤어? 사춘기냐?,1,0.0
어? 안해주시면 저 sns에 올립니다^^,1,0.0
아니 니가 아다 아냐?,6,0.0
카페 짓고 겁나 비싸게 받는 장사꾼들이 사람들 등쳐먹는거지 뭐겠냐~,1,0.0
옷이고 신발이고 가방이고 뭐든 그 자식 찌꺼기만 받았어요,1,0.0
"저랑 딱지치기 해서 지면 뺨을 갈길 거고요, 그게 싫으면 10만원 내기를 하죠.",4,0.0
야 네 남친 완전 문신충이더라?,1,0.0
응 니얼굴은 황산테러 당한 얼굴,5,0.0
우리 사회에서는 색기가 있는 여자라는 평판은 긍정적인 어감이 아닌걸 모르나? 니 쪽바리야?,1,0.0
아무리 면접관이라도 그렇지 진짜 인성꼬라지 봐라,1,0.0
ㅋㅋ 뒤로 다 따먹고 벌려주고 다닐 걸 걱정 ㄴㄴㄴ,6,0.0
너 노래못하잖아 기차화통을 삶아먹은거 처럼 목소리만 커가지고,1,0.0
아직까지 #@# 바퀴벌레들 멸종 안시킨 미국이 잘못했네ㅋㅋㅋ,1,0.0
안 봐도 비디오일거 너나 나나 다 알고 있지 않냐?,1,0.0
누가 봐도 초심 잃은 건데 이걸 쉴드를 치네,1,0.0
"아줌마, 개념 좀 챙겨요",1,0.0
저 간단한 것도 못하면 그냥 인생 끝내는 게 나을 듯한데ㅋㅋ,1,0.0
쿵쾅이들 또 시작이네,3,0.0
눈을 어디다 달고 다니길래 모르냐,1,0.0
너무 그렇게 너처럼 애들 다 애기취급하면 애들 버릇 나빠진다고,1,0.0
야 솔직히 너 집에서 기생충이지,1,0.0
근데 너는 왜 머리를 안길러? 여성스럽지를 못해 애가 어째?,2,0.0
여친도 아니면서 오지랖 작작 부리고 그냥 입 싸물어,1,0.0
아 알바 언제 끝나 진짜 더럽게 하기 싫네,1,0.0
아직도 일뽕 맞은 사람이 많이 보이네,1,0.0
먹는 생각만 그렇게 하니 일 효율도 떨어지고 살도 뒤룩뒤룩 찌는 거 아니야.,1,0.0
쟤 죽으면 누가 수령하냐 ㅋㅋ,1,0.0
너보다는 돈 많이 번다.,1,0.0
꼬람하게 하는 짓 봐라,2,0.0
뉴스에 그만 낯짝 그만 디밀면 좋겠다.,3,0.0
그니까 이런 애들이 나중에 사이비 믿고 가정파탄 내는 거 ㅋ,1,0.0
네가 말을 그 따위로 하니까 예의 없다는 말 듣고 사는 거야.,1,0.0
"아니지, 서울말은 나라가 정한 옳은 말인데, 사투리는 틀린 말이라는 거지.",2,0.0
#@인간및인간집단.조직및단체.가수그룹.여성#따위가 영어로 노래하니까 개열받는다,1,0.0
으 개 재수없어 그러다 훅 가다,1,0.0
저 연예인은 하관이 너무 길어서 지팡이로 써도 될 듯 ㅋㅋㅋ,1,0.0
채팅 앱에서 만났대. 멍 역겹지 않음??,1,0.0
애니멀호더처럼 대량으로 키우겠다는 것도 아니고 내쫓지 않겠다는 건데 왜 그날인 한녀처럼 예민하냐?,1,0.0
ㅋㅋㅋ 피드백같은 소리하네,1,0.0
표라는 표는 다빨아 먹으려고 난리를 치네,1,0.0
40대 대깨문은 불평하지마라,1,0.0
딸배들 치킨 한조각씩 빼먹는거 진짜 미개하네,1,0.0
에이 한 명일까 줄줄이 대기하고 있을텐데,1,0.0
느려터진 우리 알바 진짜 발암물질이야.,7,0.0
완전 관종 같아...,1,0.0
안 읽어도 너보단 똑똑할 듯,1,0.0
야 사람이 어떻게 저렇게까지 못생길 수가 있는지 진짜 밥 같이 먹다가 토할 뻔했어,1,0.0
뭐래 아니거든? 너보다 수학도 잘하잖아,3,0.0
메갈 웜퇘지들의 우상 아니야?,3,0.0
