text,label
하루도 조용한 날이 없네 진짜,0
진짜 말하는거 짜증나 죽겠네,0
면상 몸매 학벌 씀씀이 배려 인간성 실력 돈 집안 머리 모두 제로인게?,0
나 정문 앞에 사거리 건너서 있는 아파트.,0
난 걔네보단 회사 쪽 문제라고 생각하는데,0
공무원들부터 #@인간및인간집단.인물.정치인.남성#까지 다 월급 반납해야 돼,0
저 여자도 마음이 멀쩡하지 않을 거다,0
그 사람 믿을만한 사람이야?,0
"와, 나도 저렇게 멋있는 서양인이랑 사귀고 싶다.",0
자니?,0
#@#이는 참 민트 초코 좋아해 ㅋㅋㅋ,0
그 사람이라고 할말 없겠냐?,0
#@#산 소금을 국산 천일염으로 속인 업자들 검거당했다,0
트위터가 뭐?,0
그게 왜?,0
무단횡단 시 즉사시켜도 무죄라고 하면 무단횡단률 0% 만들 수 있음,0
아 좀 가만히좀 내버려 둬!,0
그래도 잘한 일들도 꽤 있다고 생각함,0
나도 여캠bj로 태어나서 등골 빨아먹고싶다.,0
시원한 음료수 한 모금만 마시고 싶다,0
왜 하필 왼손이야?,0
여친이 생리 안한다고 징징대는데,0
악플러 고소 응원합니다!,0
엄마빛을 나한테 오면 어쩌자는거야..,0
나 기본 4병은 마시거든?,0
여경이 개 찾아주고 브이 이런건 걍 홍보용임 욕먹을게 아니지,0
그래도 누나가 잘 챙겨주잖아?,0
난 집에서 혼자 놀려고,0
나 가슴 수술 하고 싶다,0
여자들은 도끼자국 안 불편하나 나는 똥꼬에 팬티 끼면 불편해서 손으로 잡아 펴는데,0
야 너 제 정신이야?,0
자꾸 팀원들이 던지는데 어떻게 해.,0
그거 딱봐도 유치해보이던데,0
이번이 사촌 오빠 결혼하는데 여자 어디서 만난 줄 알아?,0
그거 인종차별적인 발언인거 같은데,0
서양 애들은 머리도 잘 안 감아서 스프레이 대신 머리 기름으로 고정하는 거 알아?,0
뭘 이 정도 가지고 벌벌 떠세요? 회사 대표님께서,0
체리콕 존맛탱이다,0
그럼 학원을 한 번 알아봐야겠다.,0
하여간 그래서 나는 애를 안 낳겠다는거야 이 고통 물려주기 싫어서,0
그래도 어차피 당첨 아녀서 다행임,0
여론이든 선거결과든 둘 중 하나가 이상하다,0
맞아 남자면 남자답게 든든한 맛이 있어야지.,0
그걸 오빠/가 왜 묻는데,0
다른 방법을 찾아보자,0
집유에 경찰 폭행이라 이번에도 그냥 나오려나,0
이번에 남북 핫라인 다시 연결했데,0
이 영화 어때?,0
영국은 위드 코로나 하는 중인데 백신 효과가 겁나 줄고 사망자도 엄청 늘었대,0
헐 안 아팠어?,0
저기 있는 #@# 말하는 거지?,0
그래 너 되게 과제 시험 공부 몰아쳐서 하는 경향이 있더라 그거 나쁜 습관이잖아 고쳐봐,0
아니 또 커뮤에서 이상한 글 올리잖아.,0
저 놈은 깜빵도 아깝다 식량 축내기만 하고 진짜 사형 안되냐,0
이 헤어스타일리스트는 유명한 사람이야?,0
니네 회사 부도 나는거 아님?,0
노인들이 알약을 포장채로 삼키는 경우가 많대,0
어휴 너 인성도 알만하다 ㅋㅋ,0
딱히 하고 싶은 거 또 없어?,0
내가 왜?,0
늦둥이 낳았다니 아직 힘이 넘치나봐,0
나 결벽증인 것 같아,0
와... 찐사랑이네,0
회사 동기 진짜 일진짜 답답하게 한다,0
백종원 유튜브 댓글은 왜 이래?,0
강아지도 싫다고 하면서. 왠 동물 사랑이야?,0
내 입에서 무슨 입냄새가 난다고 그래?,0
우리 밥도 먹었겠다 간식 먹으러 갈까?,0
와 진짜 대단하다. 어떻게 하면 그런 생각들 할 수 있냐?,0
편 들걸 편 들어. 이 결혼 절대 안되니까 당장 미국 가.,0
아우 침대 밑에 이 먼지들 봐,0
아싸 나 80점 넘었다,0
아닌데 ㅋㅋㅋㅋ,0
그건 다른 일 때문이었어.,0
타투를 왜 하지?,0
나 자세가 너무 안좋아서 요가를 배워볼까 하는데 어떻게 생각해?,0
"우리나라도 마찬가지임. 잘나가는 연예인, 스포츠 스타, 대기업 임원 등 그냥 세금으로 옥죄이면 다 같이 죽는 거임",0
운동도 좀 해야 회복이 빨라.,0
음주운전 처벌 강도 높여야할듯..,0
그래~ 니 말이 맞아~,0
"야, 트랜스젠더 여성이 여자 화장실을 이용하지 못하게 한 게 인권 침해래.",0
회식했는데 여자애가 완전 기절해서 집이 어딘지 확인중,0
애들도 있는 40대 가장이 그 자리에서 엄청 얻어 맞았대,0
서울 갔더니 이쁜 여자애들 많던데 나는 못 사귀니 우울하다.,0
차선을 혼자 다 막고 가시잖아요,0
나 그냥 다이어트나 할까 봐.,0
고양이 목에 방울 달면 너무 시끄러울려나,0
야 난 대신에 밥에 별로 돈 안 쓰잖아.,0
이거 백퍼 옆 가게에서 작업 친거임,0
기술자들은 다 음침하게 생긴 것 같냐.,0
부장님 저 여자라고 지금 차별하시는거에요?,0
저 군번 없어요,0
여자들은 총알하고 남자 중에 뭐 하나를 받아들여야 한다면 총알을 선택해야함.,0
잘못된 건 고치며 살면 좋지 뭘 그러냐.,0
사실인 걸 말해준 것 뿐이야,0
"알지알지, 애기도 있잖아 #@인간및인간집단.인물.인물_무정보.남성# 였나?",0
거의 공포영화 수준인데?,0
자살폭탄 조끼입고 달려드는 IS 보면 무슨 생각들어?,0
윗집 애들 밤마다 뛰어 다녀서 맨날 잠도 못잔다. 미칠거 같다. 조용히 해달라고 말해도 안듣더라,0
그럭저럭 열심히 하고 있는 중이야,0
진짜 정신 나간 애들을 다 보겠네,0
아무튼 나는 내갈길 갈테니 잘가.,0
비둘기들은 참 행복해 보여.,0
최근 본것중 역대급 꿀잼+소름+광기+정신분열+주작질 모든 집합체가 섞여있어서 너무 현웃 터짐,0
우리도 앞세대가 싸질러 놓은 떵 치우면서 살고 있는데,0
어쩐지 요즘 중국인들 엄청 많더라,0
도움은 받고 싶은데 북한 못사는 취급은 기분 나쁘고 어쩌라고!,0
아이돌 오디션 프로 봐봐,0
리제명동무가 대통령님이 되시먼다해결된다 투표들 많이들 해라,0
와 진짜 대단하다 나는 죽을뻔했는데,0
이럴 때 산에 가면 그거야말로 조난 당하기 딱이지,0
배고프다 우리 #@# 새로나온 메뉴 시켜 먹을래? 그게 그렇게 맛있다던데,0
나 머리 기를지 자를지 너무 고민 된다. 너무 기르긴 했어,0
저렇게 등껍질도 같이 나오는거야?,0
근데 그거 네 얘기니...?,0
최여사님 부탁이니까 잠잠코 있어. 니가 나설 일 아냐.,0
너 맨날 애들한테 돈 빌리고 갚지도 않잖아,0
저 손님 매일 와서 행패를 부려,0
다음 주에 소개팅 하나 잡혔다,0
내가 어떻게 도와줄까??,0
지금 #@#이 우리 적국인 거 잊었냐?,0
영국에서 발표한건데 온라인상에서 연예문제로 도움을 받는것도 남자가 여자보다 더 많대,0
나 너무 알바가 힘들다..,0
그래 손절은 안하고 적당히 거리두는게 좋은듯,0
이게 말이 어렵다고?,0
미국 농구 선수인 #@#은 오늘도 NBA 경기에서 또 졌데,0
빨리 가서 클레임 걸고 환불해.,0
그거 범죄야 빨리 경찰서에 몰랐다고 하고 돌려드려,0
공무원 준비를 하라고?,0
얘네는 한 번 일등하더니 이번 미션은 못 하네,0
보통 사람들이 종특이라고 부르긴함.,0
대학교 가면 남자들 여자 얼평 많이 함?,0
#@인간및인간집단.인물.방송인.여성#너무 귀엽다 나랑 동갑인데 동생이라고 부르고 싶어,0
나랑 화장실 같이 가주면 안돼?,0
맞아 경상도 쪽이 유독 심하더라,0
나 요즘 요가배우고 있어서 긴장이 많이 풀려있어,0
유통이력없는 새상품인데 저따구면 제조사문제네,0
요즘 배달 음식들이 점점 비싸지는 것 같아,0
도저히 끊을 수가 없어서 그래,0
이번에 코인 폭락했더라,0
남이 줄 서서 한정판을 구매하든 말든 뭔데 오지랖이야,0
맞아. 저런 옷은 마를수록 더 착붙이더라.,0
얘는 온갖 글에 다 어그로만 끌고 다니네… 그렇게 할 짓이 없냐,0
너 요즘 무슨 게임을 그렇게 열심히 해?,0
그럼 너는 친구들 따라서 담배로 지지고 야구방망이로 패는 게 정당하다고 생각해?,0
그 찌라시 기자들이 팩트를 물어오니까 속으론 지려서 허세떠는군.,0
나도 너 성에 안 차서 바람핀 거니까 상관없어,0
오늘만 있다가 갈테니 걱정 마.,0
진짜 콘서트 가니까 신나고 너무 좋았음.,0
나 #@#에 그냥 글 짧게 적었는데 다들 좋아해주더라,0
알겠으니까 그만 좀 하지?,0
어제 길가다 술취한 사람한테 맞았어.,0
솔직히 요즘 나라 돌아가는 꼬라지 보면 #@# 살기싫음 ㅋㅋ,0
거기까지 들어가서 욕할 여유따윈 없지,0
무슨 일 있어?,0
벌써 연말이야.. 또 이렇게 나이를 먹는구나,0
버럭하지마세요,0
야 그거 굉장히 모욕적인 말인데,0
정작 중요한 때에 도망가네,0
아니 실패야.,0
"찐따야, #@# 맞고는 미국 못가는데, 미국 간 거 보면 모르냐?",0
진짜 술을 먹으려면 택시를 타지 왜 차를 가져가?,0
엘리베이터 안에서 아이가 날 보더니 뒤로 숨었어,0
맞아 ㅋ 자기들이 선택한 길 이면서 자기들이 힘들어함,0
귀여운 면이 있잔아 ㅋㅋ,0
아니거든? 누가 됐든 얼평 섞인 말하는 건 진짜 선넘는거야,0
호빠 2차 뛰는 건 얼마 받냐?,0
나도 연락을 안해봐서 모르겠네,0
이유도 없이 내 말에 반대하는거야?,0
와 그게 오늘인지 몰랐네.,0
연예인들은 결혼해도 예쁘네,0
야 누구나 원하는 일이지.,0
어느 정도 생기고 키 크면 그 아우라 못 이겨,0
밤 새면 몸에 좋지 않아,0
농담좀 좀 심하게 해봤다ㅋㅋ,0
주로 커뮤니티에서 뭘 하는 거야?,0
엥 그래?,0
나는 내가 능력껏 벌어서 적어도 쟤네보다는 사회에 기여한다고 생각해,0
명절 때 누가 경비실에 유통기한 1년 지난 통조림 세트를 경비아저씨 한테 선물이라고 줬대. 아저씨 불쌍해,0
"나 요즘 일본어 공부하고 있는데, 재미있더라",0
너 아는 저 형은 몇살이야?,0
야 나 오늘 남자친구랑 헤어졌어.. 하 진짜 허무하다,0
학교 실습실에서 수업 하다보면 꼭 수업중에 딴짓 안하고 공부 안하는 애들 많더라,0
아 내일 월요일 실화야?,0
나는 그 사람이랑 지내는 게 별로 내키지 않았어.,0
이 인간아 술좀 작작 마셔,0
반박하고 싶은데 공감가는 부분도 있네.,0
그건 잘 모르겠는데 계속 안 내고 있는 거 같더라고.,0
이 여자 화장 지운거 봤냐,0
예쁜 여자 진짜 아무 쓸모 없다,0
나 키큰거 같지 않아?,0
걍 동남아 가서 여자 잡아와라 ㅋㅋㅋ,0
의사들은 얼마나 열심히 공부했을까?난 공부 진짜 싫은데,0
좀 덜 티나는 거 끼면 괜찮을 것 같긴 하네,0
그분들에겐 그게 할일이란다,0
아이씨 자리좀 넘지 마소 나도 장사 해야될 것 아니오,0
순수하다는 사람이 이 시국에 술집에서 늦게까지 있다가 경찰한테 잡히냐,0
갈수록 비호감도가 쌓여간다,0
솔직히 걔가 아깝다,0
일당 독재 공산당 머리인데 해 먹을 만큼 따로 해 먹었겠지,0
#@인간및인간집단.인물.방송인.남성# 프랜차이즈 도대체 왜 인기있는 거냐,0
나는 괜찮던데 말이야.,0
내가 분명 열시 넘어서 술집 들어가는 사람 봤는데.,0
너나 잘해,0
ENTP 개짜증나네,0
수백만원 쓴다고 존예 될 거란 보장도 없는데 무슨 ㅋㅋ,0
성형외과 의사들이 돈 제일 잘 벌고 꿀이야,0
휴대폰 주웠는데 무슨 사진 있는지 털어볼까?,0
진정하고 이성적으로 대화해보자,0
그리고 애스크에서 저런 워딩 쓰는 아이돌이 있었다고? 이름을 말해봐,0
미안 그냥 관심 받아보고 싶어서 그랬어...,0
너네엄마 식당일 끝나고 집에 오기 전에 설거지라도 해놔 좀,0
1년 동안 사귀면서 아직도 안해봤어? 너 그거 안서냐?,0
저 책은 진짜 명작이야,0
애꿎은 여자들만 죽어나는 듯,0
우리 내일 같이 점심먹을까?,0
요즘 변호사가 예전 같지않다던데,0
돈 들어오면 남친이랑 호텔 뷔페 뿌시러 가야지.,0
로제 떡볶이 맛있더라 당면 추가하면 그거 완전 대박,0
진짜 난 서양남만날래.,0
절도 있고 그런게 매력이더라고 춤은,0
공공 화장실에 뭘 기대해,0
저런 놈을 지지하는 게 이상해,0
똑같이 개조인간인데 뭔 차이가 있냐 ㅋㅋㅋ,0
잘난척 하는것이 니한테 뭐 피해주나?,0
쇼핑몰 사장님 몸매봐,0
야 나 지갑 잃어버린 것 같아,0
난 저런 사람 뽑은 적 없는데 왜 내가 대가를 치뤄야하지?,0
그 물건 사지도 않으면서 먹는 사람들,0
기독교인들 소개팅 어플은 왜 있는거지??,0
ㅋㅋ 그런 거였나?,0
피부도 진자 좋고 예쁘게 생겼다 저 여자,0
선생님 애를 몇명이서 왕따를 하는데 어떤애가 가만있어요,0
최대한 궁핍한 삶처럼 보이면 동정표 얻을 줄 알았나 봄. ㅋㅋㅋ,0
그래요?그럼 경찰불러서 한번 확인해보까요?,0
배달업에서 고객은 아주 안중에도 없고 라이더가 갑이고만,0
응 해서 먹는 것도 돈이 꽤나 들더라고.,0
#@인간및인간집단.인물.방송인.남성#못생겼다고 하는 사람이 있음?,0
너네들은 가장 존경하는 사람이 누구야?,0
사투리 쓰는 게 뭐가 어때서,0
그렇게 하고 싶은가?,0
지금 폐드립이 문제다 애기하고있는데 니가 그 말을 하면 어떡함..,0
넘 훌륭하게 조율해서 놀라 자빠질 지경이다,0
너 혹시 #@# 하냐?,0
실제로 회계사 준비도 안 하는 것들이 꼭 입으로만 나불거리지…쯧쯧.,0
걔네들 웃통 벗겨 봐,0
왜 너네 3년도 넘었잖아 잘 사귀더니 싸웠음 ?,0
ㅇㅈ ㅋㅋㅋ 그래놓고 깊이 있는 고민 하고 있고 겉으론 밝지만 속으론 우울한 나에 취해 있는 듯,0
사람은 가치관이 변하잖아 페미니스트 하는 사람들도 나중에 후회할 수 도 있겠지?,0
러시아 누나 불러서 했음ㅋㅋ,0
소방관 일이 화재 사건만 처리하는 줄 아냐?,0
남녀가 바뀌면 성희롱 해당된다고 보겠지,0
애기 환자들은 혈관 찾기가 유독 힘듭니다,0
이거 모자 예쁘지 않냐?,0
여자도 보는 눈 있어.,0
이번에도 음식 한대?,0
그래도 집에 가야지.,0
냄새나 담배는 밖에 나가서 좀 펴,0
갈 일도 없어,0
얘 옛날 사진 보니까 지금 모습 대박이다.,0
왜? 대머리에 트라우마 있어?,0
뒤로 좀 돌아줄래 너는 뒷모습이 색기가 좀 흐르거든,0
우리는 평생 자막으로 영화 봤다. 니들도 함 당해봐..ㅋㅋㅋ,0
ㅋㅋㅋ끼리끼리 모이는 거지 뭐,0
멍청한 짓 그만두고 이 반지 잘 챙겼다가 다음 여자 친구한테 줘,0
그 여성분이 엄청 말하기 능력이 좋던데,0
어제 이사 왔더라,0
다리 삐끗했는데 한의원으로 가볼까,0
너도 노력하면 충분히 매력이 생길 수 있어.,0
왜 그렇게 말하는지 알아?,0
난 빅사이즈 모델을 욕하는 사람도 어느 정도 이해는 가.,0
그냥 저런 애들 피해다니는게 더 편해,0
야 쟤가 노트정리를 그렇게 잘한다더라,0
나는 마른 사람이 부러워,0
ㅋㅋㅋㅋㅋㅋ 그러니까,0
중국인 십육억 명 사라진다고 이 지구 안 망해,0
어휴 머릿속에 그런 생각밖에 없냐 너는?,0
나 24살 아단데....,0
아 나 오늘 #@# 하는데 너무 과장 광고가 많아서 신경쓰여,0
어차피 바닥민심은 정권교체인데 ㅋㅋ,0
왜 저렇게 빨리 가?,0
나 첫 남친 생겼는데 보통 더치페이 하는게 맞나?,0
학교 가요제 준비해야 하는데 어디서 하지..?,0
일 좀 그만 하고 싶다,0
난 플러스 사이즈 모델이라는 말이 너무 불쾌해.,0
치킨먹자 나배고파,0
#@인간및인간집단.인물.방송인.여성#는 웬 듣보잡? 첨 들어보는데 왜 #@인간및인간집단.인물.방송인.남성#이 피쳐링 해줬대?,0
왜 또 시비야?,0
뭔 헛소리냐?,0
진짜 지금 정권은 문제 많은 거 같애,0
진짜 잘생겨서 알바하던 모든 애들이 좋아했는데,0
카스썰도 이정도면 욕먹는다…. 00년대 인소 감성인 듯,0
닌 거지한테 옷 뺏어서 입었냐 느금마도 옷 못 입지?,0
코로나때문에 다들 기피하는데 왜 집합을 하는거지?,0
웬 성인병?? 너무 뜬금 없는데?,0
"돈 한 푼 안 내고, 엄마 아빠한테 빌붙어 살 거면 나가.",0
너랑 나랑 20년 지기지?,0
직장 다니면서 공부하려니 너무 힘들다,0
친구도 없는 게 친구 없다고 뭐라하네 ㅋㅋㅋ,0
아 정곡을 찌르네..,0
야 너 아직도 오징어 게임 안 봤냐?,0
우리 아파트에서 개가 사람을 있었어.,0
너네 부모님 돌아가셔도 괜찮냐? 말 함부로 하지마,0
이 영화 요즘 사람들이 많이 보던데,0
왜 나 재능 있음 한번 봐봐,0
장난 하지 말아요.,0
관찰형 예능이 시청률이 잘나온다고 하더라,0
꼭 더러운 의도로 보는 건 아닐텐데,0
괜히 깡패 건드렸다가 해코지 당하는 것보다 낫지.,0
요즘 과자들 넘 양이적다,0
중립이라 하면 욕은 덜먹지 ㅋ,0
뭔소리야 지도보면서 제대로 가고있는데,0
정치글 여기에 적지 마세요,0
하아 나도 쟤처럼 해외여행에 외제차에.. 소원이 없겠다,0
어제 공포 영화가 너무 무서웠어.,0
다른 여자랑은 다른느낌이야,0
저 연예인이 방송에서 자긴 미인은 아니라던데..,0
트럭시위 하는 #@# 직원들한테 #@인간및인간집단.조직및단체.동맹#이 도와준다 했다가 단칼에 거절당했대.,0
요즘 기업들 블라인드 채용 많이 하던데 괜찮나?,0
ㅋㅋㅋ 그러게 상대방 억장 와르르 멘션,0
여자 아이돌은 모태솔로 많지 않아?,0
아 그래서 자가격리도 안하는거네 #@#인인거 몰랐음,0
이러다가 오늘 나 술똥싼 것까지 기사에 나오겠음,0
핵은 있을 듯,0
원래 술이 잘 안 받는 체질이라 그래,0
그런 말 좀 하지 마세요.,0
얼굴형부터가 그냥 연예인인데?,0
난 진심으로 추천한건데.. 그리고 그렇게 욕 할거면 너가 알아서 정해,0
백신 화이자가 낳냐? 모더나가 낳냐?,0
그게 무슨 상관이야 아프면 병원에 가는거지.,0
콩깍지 단단히 씌였네,0
스토킹 하는 건 나쁜 짓이야.,0
뭐라는거야 나 맨날 씻는데,0
쟤는 곧 결혼한다고 열심히 돈 모으더라~,0
되게 맛있게 잘 먹더라,0
아마도 내가 먹고싶은 걸 먹어야지,0
너네 어머니 우는 소리도 안들리니?,0
지 여친한테는 아무말 못할 거면서 성드립 쩐다,0
아 미안 그런 뜻은 아니고,0
왜?난 대학도 나왔는데?,0
진짜 세상 물정 모르는 거지,0
그정돈아닌데 내생각에 좀더 나으려는 의지가 필요하다고 봐서,0
상사가 하는 말 잘못 알아듣고 출근했다가 회사 문 닫혀 있어서 집 가는 중이야,0
내 친구가 남자친구한테 생일상 차려 줬대,0
나 어제 그 사람 봤는데 되게 잘생겼더라,0
결혼하든 이혼하든 알 바야?,0
문도 못 열겠는데 어쩌냐..,0
한 두 번이 아니니까 말하는 거잖아.,0
스스로가 너무 한심해,0
안타까운 현실이지 뭐.,0
그래서 기자들도 욕을 하나 봐.,0
그것도 하나의 패션인데?,0
여자들은 왜 그럴까?,0
가족끼리 그러는거 아냐,0
동네분들도 나눠주시던지 하세요,0
경력직 신입을 원하는 거는 너무 양아치 마인드 아니냐?,0
누나 내일 약속시간에 나가면 되죠?,0
요즘은 4계절이 아니라 2계절 인거같아,0
오 축하한다고 전해줘,0
또 운동선수 출신이라 학창시절에 수업을 못 들었다고 핑계댈 듯,0
대학교 졸업하면 뭐할거야?,0
전세계에서 가장 많이 쓰는 언어는 중국어가 맞기 때문에 영어권 국가가 중국어를 배우게 될 수도 있어,0
내일 시험인데 준비했니?,0
쟤가 버는게 얼만데 장보러까지 가야하나..,0
맞벌이는 주말밖에 시간이 없다고.,0
새로 나온 군대 드라마 봤냐? 진짜 재밌던데,0
뭐하고 있는 거냐?,0
홧김에 싸우다 그런건데 저 죽인 인간도 조금은 불쌍하다.,0
결혼까지 간드아아,0
원래 그런건 공짜로 해줬잖아.. 고기값에 다 포함되는거 아니냐?ㅠㅠ,0
내말이 그래야 정신차려,0
췬준생 65% 구직 포기했대 ㅋㅋㅋ,0
인성보단 실력이야 친구야,0
내가 체급 따지는 운동선수도 아니고 패션모델도 아닌데 살은 빼서 뭐해?,0
님도 님 직업에 자부심 가지고 잘 사세요~,0
"사람 나름이겠지, 다 그러겠냐?",0
두 모녀 다 정말 안타깝다,0
너는 별로야?,0
댄스팀 공연봤어?,0
마닐라 JTV는 이쁜 애들 많아서 깜짝 놀램.,0
남자들 화장하는거 진짜 꼴봬기 싫지않냐?,0
돈 줘 나 생활비 다 떨어졌다고!!!,0
오지 마세요...,0
근데 솔직히 저 정도면 저항 안 한 게 이상하지 않나,0
게임할 때마다 시끄러워 죽겠어.,0
아 습관이라서 그래,0
일상이지 뭐.,0
이번엔 #@인간및인간집단.인물.정치인.남성#이 답이다.,0
아니 같이 애 키우는 사람이 이러시면 안되죠,0
이제 알았냐?,0
그래도 가끔은 TV 드라마도 나쁘지 않는거같아,0
야 오늘 입학한 신입생들 봤어?,0
#@인간및인간집단.인물.인물_무정보.여성# 드디어 의사 안 되는 거 맞냐 그럼?,0
자동차 튜닝해서 시끄럽게 하고 다니는 애들은 왜그러는걸까?,0
그 오빠 옷 잘입지 않아?,0
