text,real_label,wrong_label
면상 몸매 학벌 씀씀이 배려 인간성 실력 돈 집안 머리 모두 제로인게?,0,1.0
아 쒸 국물 튀었잔아 어쩔거야,1,0.0
공무원들부터 #@인간및인간집단.인물.정치인.남성#까지 다 월급 반납해야 돼,0,1.0
장님 행세 하는 애들도 있다잖아,1,0.0
저 여자도 마음이 멀쩡하지 않을 거다,0,1.0
니도 그렇나 나도 헛대 서서 죽것다,6,0.0
야 이 가슴은 완전 밥그릇 아니냐?,6,1.0
너 찔러 죽이려고 태어났다.,5,1.0
무단횡단 시 즉사시켜도 무죄라고 하면 무단횡단률 0% 만들 수 있음,0,1.0
와.. 그건 부처님도 살생할듯,1,0.0
곧 죽을거니까 그냥 묻으라고,5,1.0
ㅋㅋㅋ 몸은 아직 달아서 박아달라고 하나봐,6,1.0
그니까 ㅋㅋㅋ누구 눈엔 누구만 보인다더니,1,0.0
자기만족이라잖아. 홀딱 벗은 몸 찍어서 인스타에 올려야지 ㅋㅋ,1,0.0
앞으로 겨털 많은 사람들은 다른 사람한테 민폐 주지 말고 털 밀기로 약속해야 함.,1,0.0
뭘 이 정도 가지고 벌벌 떠세요? 회사 대표님께서,0,1.0
니들 같은 머저리 놈들 때문에 나도 회사 망해서 슬픈거야 이것들아,7,1.0
외국인하고 결혼해서 다문화특공 받은 후 이혼하라는 얘기지?,1,0.0
아 진짜 역겨워,3,1.0
저 놈은 깜빵도 아깝다 식량 축내기만 하고 진짜 사형 안되냐,0,1.0
니네 회사 부도 나는거 아님?,0,1.0
어휴 너 인성도 알만하다 ㅋㅋ,0,1.0
속옷 벗기기 가능; 벗으세요 하면 뒤집어져서 벗을듯 ㅋ,6,0.0
"응, 78년 생 말띠 여자들이 기 세고 막나가기로 유명하잖아.",2,1.0
넌 교정 꼭 해야겠다,1,0.0
"파란 색인데 무슨, 넌 계절도 몰라? 아직 여름이야. 바보같아",2,1.0
장애인은 죽어주는 게 답이긴 하지,3,1.0
"우리나라도 마찬가지임. 잘나가는 연예인, 스포츠 스타, 대기업 임원 등 그냥 세금으로 옥죄이면 다 같이 죽는 거임",0,1.0
헛소리하는 니 혀를 뽑고 싶은데,4,1.0
이거 백퍼 옆 가게에서 작업 친거임,0,1.0
진짜 정신 나간 애들을 다 보겠네,0,1.0
게이들은 원래 남자만 보면 환장함?,2,1.0
야 진짜 니 남친 니보다 10살많은데 아직 결혼 못한 거면 그냥 하자가 있는 거임,2,1.0
아니 그래도 얘가 잡일 다 하는거잖아 너 그렇게 말하면 안되지,1,0.0
최근 본것중 역대급 꿀잼+소름+광기+정신분열+주작질 모든 집합체가 섞여있어서 너무 현웃 터짐,0,1.0
우리도 앞세대가 싸질러 놓은 떵 치우면서 살고 있는데,0,1.0
이 여자 엉덩이에 비비고싶지 않냐,6,0.0
도움은 받고 싶은데 북한 못사는 취급은 기분 나쁘고 어쩌라고!,0,1.0
이럴 때 산에 가면 그거야말로 조난 당하기 딱이지,0,1.0
"와 진짜 별 쓸데없는, 궁금하지도 않은 말 꺼내네.",1,0.0
ㅋㅋ 고등학교 4학년 5학년임 그냥,1,0.0
백신은 실제로 사람이 뒤지는데도 조~용,3,1.0
대통령이 친북 친중이니 조선족들이 활개를 치고 다니는 거야,3,1.0
난 그 비제이 목소리 너무 역겨워서 안들음,3,1.0
백신 안 맞아서 같이 놀기 싫음,1,0.0
당연히 사형을 선고하고 집행해야 한다.,1,0.0
대체 한녀들은 왜 멀쩡한 캐릭터를 게이로 만드는 거야?,1,0.0
유통이력없는 새상품인데 저따구면 제조사문제네,0,1.0
넌 부모 없어서 배운 것도 없지?,3,1.0
남이 줄 서서 한정판을 구매하든 말든 뭔데 오지랖이야,0,1.0
뭐래 목소리가 청량한 거 가지고 왜 태클이야 ㅋㅋ,1,0.0
얘는 온갖 글에 다 어그로만 끌고 다니네… 그렇게 할 짓이 없냐,0,1.0
그 찌라시 기자들이 팩트를 물어오니까 속으론 지려서 허세떠는군.,0,1.0
솔직히 요즘 나라 돌아가는 꼬라지 보면 #@# 살기싫음 ㅋㅋ,0,1.0
아 이게 다 끝난거에요? ㅋㅋㅋㅋㅋ 너무뻔뻔한거아님?,1,0.0
왜 이렇게 나보다 어린 애들이 막 대하지,1,0.0
몸이 뜨거워지고 그러지?,1,0.0
"찐따야, #@# 맞고는 미국 못가는데, 미국 간 거 보면 모르냐?",0,1.0
팬티가 보일락 말락 하니까 꼴리더라고,6,0.0
호빠 2차 뛰는 건 얼마 받냐?,0,1.0
그런 회사들은 입구 냄새부터 다르더라 술집 향수랑 똑같아,3,0.0
급식이 아니면 더 위험한 놈일세 ㅋㅋㅋ 차라리급식충이라고 해라.,3,1.0
흑인인 줄 알았다.,1,0.0
물고기들이 완전 포식하겠네요 ㅎㅎ 날 풀리면 회나 떠먹으러 가야지,1,0.0
약쟁이 놈들 다 잡아서 사형을 시키든가 해야지,3,1.0
걍 동남아 가서 여자 잡아와라 ㅋㅋㅋ,0,1.0
요 주변에 #@# 만 봐도 알거아니야 ㅋㅋ 한국으로 밀입국해서 돈 버는데 사람 취급 못받는거 많이 봤잖아,1,0.0
ㅋㅋ진짜 보기도 부담스럽다.,1,0.0
갈수록 비호감도가 쌓여간다,0,1.0
일당 독재 공산당 머리인데 해 먹을 만큼 따로 해 먹었겠지,0,1.0
야 그런 말도 말이라고 하냐? ㅋㅋ,1,0.0
베트남에서 개발한 백신을 믿냐?,1,0.0
재 입 냄새 너무 심하지 않아? 아침에 멀 먹은거지?,1,0.0
수백만원 쓴다고 존예 될 거란 보장도 없는데 무슨 ㅋㅋ,0,1.0
꼬튜에 점 3개 있는 것 까지 알고 있음 많이 아는 거 아냐?,6,0.0
너네엄마 식당일 끝나고 집에 오기 전에 설거지라도 해놔 좀,0,1.0
1년 동안 사귀면서 아직도 안해봤어? 너 그거 안서냐?,0,1.0
귀띔은 무슨 귓방망이를 날려버리고 싶네,4,1.0
저런 놈을 지지하는 게 이상해,0,1.0
똑같이 개조인간인데 뭔 차이가 있냐 ㅋㅋㅋ,0,1.0
길가다 자기 애랑 같이 뒤지길 바란다,4,1.0
응 이제 제발 티비에 안 나왔으면 좋겠다.,3,0.0
조금 있으면 흑인 피부랑 비슷해질 듯,2,0.0
최대한 궁핍한 삶처럼 보이면 동정표 얻을 줄 알았나 봄. ㅋㅋㅋ,0,1.0
배달업에서 고객은 아주 안중에도 없고 라이더가 갑이고만,0,1.0
아니 니는 왜 요리를 꾸준히 해도 안 느냐?,1,0.0
실제로 회계사 준비도 안 하는 것들이 꼭 입으로만 나불거리지…쯧쯧.,0,1.0
ㅇㅈ ㅋㅋㅋ 그래놓고 깊이 있는 고민 하고 있고 겉으론 밝지만 속으론 우울한 나에 취해 있는 듯,0,1.0
그 자식들 포크레인 숟가락으로 머리를 빠개버려야 되는데.,4,1.0
왜 맨날 한남들 어쩌구 하면서 울어대는 거야?,3,1.0
쟤는 TV 나올 때마다 옥수수를 털어버리고 싶어,4,1.0
한국 여자 싫다고 다른 여자 만날 수 있는 줄 아냐?,1,0.0
어쩌다 저런 ㅅㄲ가 태어났을까?,7,0.0
공동묘지도 아니고 온통 십자가 불빛 뿐이야,1,0.0
이 연예인 관련 기사 너무 많이 뜨지 않아? 언플 너무 심하다 ㅋㅋ,3,1.0
우리는 평생 자막으로 영화 봤다. 니들도 함 당해봐..ㅋㅋㅋ,0,1.0
ㅋㅋㅋ끼리끼리 모이는 거지 뭐,0,1.0
멍청한 짓 그만두고 이 반지 잘 챙겼다가 다음 여자 친구한테 줘,0,1.0
너 남자가 부엌에 들어오면 안돼~,2,0.0
로린이는 전부 다 핑두임ㅋㅋ,6,1.0
피임은 잘 했고?,6,0.0
어휴 머릿속에 그런 생각밖에 없냐 너는?,0,1.0
딸배들 오토바이 고아처럼 모네,7,1.0
먼지는 서해 건너 #@#으로 날려버리고.,2,1.0
#@인간및인간집단.인물.방송인.여성#는 웬 듣보잡? 첨 들어보는데 왜 #@인간및인간집단.인물.방송인.남성#이 피쳐링 해줬대?,0,1.0
지금 자면 너 평생 눈을 못뜨게 해줄게.,4,1.0
자고로 옆에 여자가 있어야 술맛이 나지.,2,0.0
카스썰도 이정도면 욕먹는다…. 00년대 인소 감성인 듯,0,1.0
닌 거지한테 옷 뺏어서 입었냐 느금마도 옷 못 입지?,0,1.0
ㅇㅇ진짜 도륙 마렵지 않냐,3,1.0
자기 꺼 자기가 배끼는 거 안 창피할까?,1,0.0
"돈 한 푼 안 내고, 엄마 아빠한테 빌붙어 살 거면 나가.",0,1.0
요리 전공인 사람한테 칼질 고라니하는 사람은 또 처음본다.,1,0.0
친구도 없는 게 친구 없다고 뭐라하네 ㅋㅋㅋ,0,1.0
성적 폭행한 사람들 얼굴 대문짝만하게 갖다 붙였으면 좋겠어.,1,0.0
남자친구만 배신감 들겠지,1,0.0
이제 정신 감정 받고 감면 노리겠지,3,0.0
ㅋㅋㅋ 그러게 상대방 억장 와르르 멘션,0,1.0
개그맨 주제에 무슨 정치적 발언이냐,3,1.0
앞이 보이긴 하나?,1,0.0
현금만 고집하는 것도 수상하다,1,0.0
굶으라고 그래. 언제부터 날 챙겼다고.,2,1.0
담임 진짜 꼰대 같네.,4,1.0
지 여친한테는 아무말 못할 거면서 성드립 쩐다,0,1.0
진짜 세상 물정 모르는 거지,0,1.0
어? 안해주시면 저 sns에 올립니다^^,1,0.0
아니 니가 아다 아냐?,6,0.0
스스로가 너무 한심해,0,1.0
"저랑 딱지치기 해서 지면 뺨을 갈길 거고요, 그게 싫으면 10만원 내기를 하죠.",4,1.0
응 니얼굴은 황산테러 당한 얼굴,5,1.0
경력직 신입을 원하는 거는 너무 양아치 마인드 아니냐?,0,1.0
ㅋㅋ 뒤로 다 따먹고 벌려주고 다닐 걸 걱정 ㄴㄴㄴ,6,0.0
안 봐도 비디오일거 너나 나나 다 알고 있지 않냐?,1,0.0
또 운동선수 출신이라 학창시절에 수업을 못 들었다고 핑계댈 듯,0,1.0
누가 봐도 초심 잃은 건데 이걸 쉴드를 치네,1,0.0
쿵쾅이들 또 시작이네,3,1.0
너무 그렇게 너처럼 애들 다 애기취급하면 애들 버릇 나빠진다고,1,0.0
근데 너는 왜 머리를 안길러? 여성스럽지를 못해 애가 어째?,2,1.0
아 알바 언제 끝나 진짜 더럽게 하기 싫네,1,0.0
너보다는 돈 많이 번다.,1,0.0
꼬람하게 하는 짓 봐라,2,1.0
