text,label
하루도 조용한 날이 없네 진짜,0
셀카로 안구테러 좀 그만 했으면 좋겠다,1
진짜 말하는거 짜증나 죽겠네,0
쟤는 친구들을 의심하고 먼저 손절해버리는게 피해망상 환자같아,1
나 정문 앞에 사거리 건너서 있는 아파트.,0
난 걔네보단 회사 쪽 문제라고 생각하는데,0
그 사람 믿을만한 사람이야?,0
민노총은 악질 깡패집단이야.,1
"와, 나도 저렇게 멋있는 서양인이랑 사귀고 싶다.",0
핑계대는 수준으로 열심히 살 생각을 좀 해라,1
역시 머리 텅텅이인 애들은 상대하기 피곤하다,1
결국 같은 능지끼리 만났을때 일어 나는 일이죠?,1
존못충도 이런 노래 들으면서 상상연애할 자격은 있나 봄 ㅋㅋㅋ,1
맞음 온 가족 다 걸리고 생계 어려워져야 정신 차리려나,1
자니?,0
#@#이는 참 민트 초코 좋아해 ㅋㅋㅋ,0
그 사람이라고 할말 없겠냐?,0
#@#산 소금을 국산 천일염으로 속인 업자들 검거당했다,0
트위터가 뭐?,0
그게 왜?,0
내 과제물에 분탕질 치지마 진짜 빡치니까,1
뺀질대고 얍삽하게 살면서 자리 지키는 사람 바보 만드는 거 정말 이기적이다.,1
염불을 하는지 뭘 하는지 도무지 알아들을수 있어야지,1
아 좀 가만히좀 내버려 둬!,0
그래도 잘한 일들도 꽤 있다고 생각함,0
적어도 너 같은 루저는 그 여자도 맘에 안 들어 하지 않을까?,1
지가 뭔데 교육을 하고 나발이고 꼴값을 떨어,1
나도 여캠bj로 태어나서 등골 빨아먹고싶다.,0
시원한 음료수 한 모금만 마시고 싶다,0
왜 하필 왼손이야?,0
ㅋㅋ왜 계속 열심히 안한척함? 하는거 다봤구만ㅋㅋ 천재인척 해볼라고 발악을 하노,1
여친이 생리 안한다고 징징대는데,0
악플러 고소 응원합니다!,0
엄마빛을 나한테 오면 어쩌자는거야..,0
"뭐가 멋있어? 잘난척에 사람 무시나 하는데, 기생오라비처럼 생겨서는",1
나 기본 4병은 마시거든?,0
여경이 개 찾아주고 브이 이런건 걍 홍보용임 욕먹을게 아니지,0
그래도 누나가 잘 챙겨주잖아?,0
난 집에서 혼자 놀려고,0
그러면 개통령이나하지.,1
너같은 버러지를 낳고 미역국 먹은 엄마가 불쌍하다,1
나 가슴 수술 하고 싶다,0
여자들은 도끼자국 안 불편하나 나는 똥꼬에 팬티 끼면 불편해서 손으로 잡아 펴는데,0
야 너 제 정신이야?,0
자꾸 팀원들이 던지는데 어떻게 해.,0
그거 딱봐도 유치해보이던데,0
이번이 사촌 오빠 결혼하는데 여자 어디서 만난 줄 알아?,0
그거 인종차별적인 발언인거 같은데,0
서양 애들은 머리도 잘 안 감아서 스프레이 대신 머리 기름으로 고정하는 거 알아?,0
그러게. 뒷북만 치다 금방 변절자 소리 듣게 생겼다. 멍청하네.,1
체리콕 존맛탱이다,0
그럼 학원을 한 번 알아봐야겠다.,0
너 말하는거 진짜 배알꼴리는데? ㅋㅋ,1
하여간 그래서 나는 애를 안 낳겠다는거야 이 고통 물려주기 싫어서,0
그래도 어차피 당첨 아녀서 다행임,0
여론이든 선거결과든 둘 중 하나가 이상하다,0
맞아 남자면 남자답게 든든한 맛이 있어야지.,0
그걸 오빠/가 왜 묻는데,0
다른 방법을 찾아보자,0
집유에 경찰 폭행이라 이번에도 그냥 나오려나,0
이번에 남북 핫라인 다시 연결했데,0
이 영화 어때?,0
영국은 위드 코로나 하는 중인데 백신 효과가 겁나 줄고 사망자도 엄청 늘었대,0
헐 안 아팠어?,0
능력도 안 되는 사람들이 권력 맛 좀 보려고 설치니까 그 고통은 고스란히 국민들이 떠안게 되네.,1
넌 단 과일을 안 가려 먹어서 그렇게 뚱뚱하게 살이 쪘구나?,1
저기 있는 #@# 말하는 거지?,0
그래 너 되게 과제 시험 공부 몰아쳐서 하는 경향이 있더라 그거 나쁜 습관이잖아 고쳐봐,0
아니 또 커뮤에서 이상한 글 올리잖아.,0
이 헤어스타일리스트는 유명한 사람이야?,0
이렇게 국민을 무시하는 정권은 없었음,1
노인들이 알약을 포장채로 삼키는 경우가 많대,0
쟤네는 그냥 돈 뜯어가는 쓰레기들이야,1
니가 나한테 그렇게 말하는 이유가 뭐야?얼굴도 못생긴게.,1
딱히 하고 싶은 거 또 없어?,0
내가 왜?,0
너 같이 싼티나는 싸구려 입맛 가지고 있는 애는 구분 못 하겠지,1
늦둥이 낳았다니 아직 힘이 넘치나봐,0
본인 몸 관리도 안 하면서; 페미들 깎아 내리네?,1
나 결벽증인 것 같아,0
와... 찐사랑이네,0
회사 동기 진짜 일진짜 답답하게 한다,0
백종원 유튜브 댓글은 왜 이래?,0
행복하지 못하고 가족들도 다 불행하다가 뒤졌으면,1
강아지도 싫다고 하면서. 왠 동물 사랑이야?,0
쟤넨 넘어지면 군면제 되니까 속으로는 좋아할텐데 ㅋㅋㅋ,1
난 꽃뱀마냥 고소 안하고 돈이나 받을래,1
내 입에서 무슨 입냄새가 난다고 그래?,0
어미 아비가 잘못 키워으니 애가 저 모양이지,1
우리 밥도 먹었겠다 간식 먹으러 갈까?,0
와 진짜 대단하다. 어떻게 하면 그런 생각들 할 수 있냐?,0
왜 또 중2병 걸린 급식마냥 그러는데,1
편 들걸 편 들어. 이 결혼 절대 안되니까 당장 미국 가.,0
아우 침대 밑에 이 먼지들 봐,0
아싸 나 80점 넘었다,0
아닌데 ㅋㅋㅋㅋ,0
그건 다른 일 때문이었어.,0
타투를 왜 하지?,0
"교회 여자애들 중에도 몸 막 굴리면서, 깨끗한 척 오지는 애들 많어",1
응 난 사실만 얘기해~ 멍청한놈들만 걸리는게 코로나 아니냐?,1
